trip_type,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Short_hov,N_HB_OD_Short_hov,0.04453302451440506,0.005421907496454074,8.213534543613967,0
N_HB_OD_Short_sov,N_HB_OD_OME_sov,0.028143946596728853,0.0032744254374350175,8.595079391630637,0
N_HB_OME_All_sov,N_HB_OD_OME_sov,0.028143946596728853,0.0032744254374350175,8.595079391630637,0
N_HB_OD_Short_walk,N_HB_OD_Short_walk,0.02620519041942996,0.004603223410059028,5.692791351852707,0
N_HB_OME_All_walk,N_HB_OME_All_walk,0.10965253616401544,0.01025205131670218,10.695667898713545,0
N_HB_OD_Long_walk,N_HB_OD_Long_walk,0.024615404262831906,0.009466500911542247,2.600264289080563,0.00933
N_HB_OD_Short_t,N_HB_OD_Short_t,0.0745683348752084,0.038576534498463516,1.932997244171283,0.05326
