term,estimated_as,estimate,std.error,statistic,p.value
W_HB_O_All_sov,W_HB_O_All_auto,0.08787325483767534,0.006534909091765949,13.446744798393068,0
W_HB_O_All_walkbike,W_HB_O_All_walkbike,0.38669086370567046,0.023548055940452735,16.42134979989503,0
W_HB_W_All_sov,W_HB_W_All_sov,0.015545711292578408,0.004100232183377817,3.7914221920407636,1.5e-4
r_sq,NA,0.3722207990902075,NA,NA,NA
