"TAZ_NG","TAZ_TRM_6.2","County","ATYPE","HH","HH_POP","MEANINC","Stud_GQ","Other_NonInst_GQ","Inst_GQ","Total_POP","StudGQ_NCSU","StudGQ_UNC","StudGQ_DUKE","StudGQ_NCCU","BuildingS_NCSU","BuildingS_UNC","BuildingS_DUKE","BuildingS_NCCU","Industry","Office","Service_RateLow","Service_RateHigh","Retail","IndOff_EarnLow","IndOff_EarnHigh","Service_EarnLow","Service_EarnHigh","Retail_EarnLow","Retail_EarnHigh","ADT","PCTCV","PCTAUTOEE","PCTCVEE","ZONEAREA","SHORTWALKA","LONGWALKAM","SHORTWALKO","LONGWALKOP","DISTGROUP","EXTERNAL","District","AVEBLOCK_P","AVEBLOCK_A","RoadwayLen","NMPathLen","ENROLLMENT","PASA","PrkRestrict","PASAYear","PrkCosW1","PrkCosW2","PrkCosW3","PrkCosO1","PrkCosO2","PrkCosO3","PrkCosU1","PrkCosU2","PrkCosU3","Campus","Campus_NCSU","Campus_UNC","Campus_DUKE","Campus_NCCU","In_ShortWalk_NCSU","In_ShortWalk_UNC","In_ShortWalk_DUKE","In_ShortWalk_NCCU","Housing_NCSU","Housing_UNC","Housing_DUKE","Housing_NCCU","NCSU_OFF","UNC_OFF","DUKE_OFF","NCCU_OFF","TOT_Area1","TOT_POP1","TOT_EMP1","EmpDen1","Density1","TRM_6.2_Fill","lehd_emp"
2877,847,"Harnett",4,48,118,67705,0,0,0,118,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0.00,0.00,0.00,0.00,0.00,0,0.0000,0.0000,0.0000,0.722154,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.360363,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.017137,0.00013,6.3e-05,6.4e-05,0.781246,133,3,3.84002,177.504,,0
2878,848,"Harnett",4,303,732,66200,0,0,127,859,0,0,0,0,0,0,0,0,40,12,232,63,111,19.0349,32.9651,240.116,54.8844,109.233,1.76744,0,0.0000,0.0000,0.0000,6.41881,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.802097,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.106656,0.00471,0.000621,0.000633,0.781253,89,55,70.3997,247.077,,2074
2879,849,"Harnett",4,325,889,54591,0,0,0,889,0,0,0,0,0,0,0,0,12,28,23,0,1,36.8182,3.18182,14.7843,8.21569,0.698795,0.301205,0,0.0000,0.0000,0.0000,4.48699,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.560446,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.302211,0.011729,0.001475,0.001503,0.781254,154,11,14.0799,223.750,,64
2880,850,"Harnett",3,283,685,54591,0,0,0,685,0,0,0,0,0,0,0,0,272,217,750,265,326,461.222,27.7776,820.464,194.536,298.59,27.4096,0,0.0000,0.0000,0.0000,4.83296,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.536786,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.122373,0.009884,0.001243,0.001266,0.781255,110,295,377.598,855.004,,711
2881,851,"Harnett",4,252,544,48445,426,10,0,980,0,0,0,0,0,0,0,0,70,19,76,22,12,45.2,43.8,93.8719,4.12808,12,0.00,0,0.0000,0.0000,0.0000,3.97027,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.330613,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.044436,0.00205,0.00027,0.000275,0.781245,190,39,49.9203,337.623,,298
2882,852,"Harnett",4,254,638,48445,126,0,0,764,0,0,0,0,0,0,0,0,0,7,54,0,22,5.55556,1.44444,44.7143,9.28571,22,0.00,0,0.0000,0.0000,0.0000,1.9879,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.397504,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.034235,0.002464,0.000649,0.000661,0.781259,297,32,40.9596,457.629,,45
2883,853,"Harnett",4,140,335,54591,0,0,0,335,0,0,0,0,0,0,0,0,18,10,11,0,0,18.1184,9.88163,0.470588,10.5294,0.00,0.00,0,0.0000,0.0000,0.0000,3.10736,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,1.03513,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.116606,0.001839,0.000661,0.000673,0.781261,84,9,11.5198,129.308,,24
2884,854,"Harnett",4,142,370,54591,0,0,0,370,0,0,0,0,0,0,0,0,3,6,4,0,3,6.50232,2.49768,2.79518,1.20482,2.09639,0.903614,0,0.0000,0.0000,0.0000,2.33287,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.777184,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.036772,0.001994,0.000716,0.00073,0.781254,120,4,5.11998,163.283,,8
2885,855,"Harnett",3,364,920,48445,0,0,0,920,0,0,0,0,0,0,0,0,0,29,41,41,2,23.8413,5.15873,70.1894,11.8106,2,0.00,0,0.0000,0.0000,0.0000,1.20197,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.199688,0.00,0.00,307,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.06369,0.003456,0.001242,0.001265,0.781247,591,89,113.920,971.957,,119
2886,856,"Harnett",3,317,691,48445,1197,0,0,1888,0,0,0,0,0,0,0,0,41,15,20,1087,95,46.8584,9.14156,886.206,220.794,95,0.00,0,0.0000,0.0000,0.0000,2.67629,0.0000,0.0000,0.0000,0.0000,0.0000,0,43,0.0000,0.222745,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.164191,0.004197,0.000946,0.000964,0.781268,551,367,469.749,1593.769,,55
2887,857,"Harnett",4,404,1113,52239,0,5,0,1118,0,0,0,0,0,0,0,0,12,56,58,0,89,58.4683,9.53168,48.4223,9.57768,89,0.00,0,0.0000,0.0000,0.0000,3.1718,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.396381,0.00,0.00,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.65004,0.036655,0.00982,0.010002,0.781288,274,52,66.5567,476.591,,176
2888,858,"Harnett",4,669,1896,70666,0,0,0,1896,0,0,0,0,0,0,0,0,40,52,47,0,7,47.1857,44.8143,37.2483,9.75175,6.16176,0.838235,0,0.0000,0.0000,0.0000,5.27032,0.0000,0.0000,0.0000,0.0000,0.0000,0,31,0.0000,0.752686,0.00,0.00,439,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,1.23611,0.02746,0.007356,0.007493,0.781264,281,21,26.8795,410.515,,161
