"A112109 - Number of Workers in household (6) (Households)"
"Current date: 12/11/2020 11:03:50 AM (Eastern Standard Time)"
"RESIDENCE","Number of Workers in Household 6","Output","Households",
"TAZ 00000501, Durham County, North Carolina","3 workers","Estimate","15"
"TAZ 00000501, Durham County, North Carolina","4-or-more workers","Estimate","20"
"TAZ 00100006, Durham County, North Carolina","Total, number of workers in household","Estimate","75"
"TAZ 00100006, Durham County, North Carolina","0 workers","Estimate","20"
"TAZ 00100006, Durham County, North Carolina","1 worker","Estimate","45"
"TAZ 00100006, Durham County, North Carolina","2 workers","Estimate","10"
"TAZ 00100006, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100006, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100007, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100007, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100007, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100007, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100007, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100007, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100009, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100009, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100009, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100009, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100009, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100009, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100012, Durham County, North Carolina","Total, number of workers in household","Estimate","350"
"TAZ 00100012, Durham County, North Carolina","0 workers","Estimate","165"
"TAZ 00100012, Durham County, North Carolina","1 worker","Estimate","185"
"TAZ 00100012, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100012, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100012, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100013, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100013, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100013, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100013, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100013, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100013, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100024, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100024, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100024, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100024, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100024, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100024, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100028, Durham County, North Carolina","Total, number of workers in household","Estimate","240"
"TAZ 00100028, Durham County, North Carolina","0 workers","Estimate","35"
"TAZ 00100028, Durham County, North Carolina","1 worker","Estimate","90"
"TAZ 00100028, Durham County, North Carolina","2 workers","Estimate","65"
"TAZ 00100028, Durham County, North Carolina","3 workers","Estimate","25"
"TAZ 00100028, Durham County, North Carolina","4-or-more workers","Estimate","20"
"TAZ 00100040, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100040, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100040, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100040, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100040, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100040, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100043, Durham County, North Carolina","Total, number of workers in household","Estimate","595"
"TAZ 00100043, Durham County, North Carolina","0 workers","Estimate","180"
"TAZ 00100043, Durham County, North Carolina","1 worker","Estimate","290"
"TAZ 00100043, Durham County, North Carolina","2 workers","Estimate","95"
"TAZ 00100043, Durham County, North Carolina","3 workers","Estimate","25"
"TAZ 00100043, Durham County, North Carolina","4-or-more workers","Estimate","10"
"TAZ 00100048, Durham County, North Carolina","Total, number of workers in household","Estimate","430"
"TAZ 00100048, Durham County, North Carolina","0 workers","Estimate","125"
"TAZ 00100048, Durham County, North Carolina","1 worker","Estimate","220"
"TAZ 00100048, Durham County, North Carolina","2 workers","Estimate","45"
"TAZ 00100048, Durham County, North Carolina","3 workers","Estimate","15"
"TAZ 00100048, Durham County, North Carolina","4-or-more workers","Estimate","25"
"TAZ 00100049, Durham County, North Carolina","Total, number of workers in household","Estimate","415"
"TAZ 00100049, Durham County, North Carolina","0 workers","Estimate","55"
"TAZ 00100049, Durham County, North Carolina","1 worker","Estimate","215"
"TAZ 00100049, Durham County, North Carolina","2 workers","Estimate","115"
"TAZ 00100049, Durham County, North Carolina","3 workers","Estimate","20"
"TAZ 00100049, Durham County, North Carolina","4-or-more workers","Estimate","15"
"TAZ 00100055, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100055, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100055, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100055, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100055, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100055, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100056, Durham County, North Carolina","Total, number of workers in household","Estimate","310"
"TAZ 00100056, Durham County, North Carolina","0 workers","Estimate","50"
"TAZ 00100056, Durham County, North Carolina","1 worker","Estimate","135"
"TAZ 00100056, Durham County, North Carolina","2 workers","Estimate","125"
"TAZ 00100056, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100056, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100058, Durham County, North Carolina","Total, number of workers in household","Estimate","1,005"
"TAZ 00100058, Durham County, North Carolina","0 workers","Estimate","145"
"TAZ 00100058, Durham County, North Carolina","1 worker","Estimate","465"
"TAZ 00100058, Durham County, North Carolina","2 workers","Estimate","350"
"TAZ 00100058, Durham County, North Carolina","3 workers","Estimate","45"
"TAZ 00100058, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100059, Durham County, North Carolina","Total, number of workers in household","Estimate","965"
"TAZ 00100059, Durham County, North Carolina","0 workers","Estimate","205"
"TAZ 00100059, Durham County, North Carolina","1 worker","Estimate","510"
"TAZ 00100059, Durham County, North Carolina","2 workers","Estimate","255"
"TAZ 00100059, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100059, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100065, Durham County, North Carolina","Total, number of workers in household","Estimate","640"
"TAZ 00100065, Durham County, North Carolina","0 workers","Estimate","85"
"TAZ 00100065, Durham County, North Carolina","1 worker","Estimate","290"
"TAZ 00100065, Durham County, North Carolina","2 workers","Estimate","235"
"TAZ 00100065, Durham County, North Carolina","3 workers","Estimate","30"
"TAZ 00100065, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100066, Durham County, North Carolina","Total, number of workers in household","Estimate","290"
"TAZ 00100066, Durham County, North Carolina","0 workers","Estimate","40"
"TAZ 00100066, Durham County, North Carolina","1 worker","Estimate","105"
"TAZ 00100066, Durham County, North Carolina","2 workers","Estimate","125"
"TAZ 00100066, Durham County, North Carolina","3 workers","Estimate","20"
"TAZ 00100066, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100069, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100069, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100069, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100069, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100069, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100069, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100071, Durham County, North Carolina","Total, number of workers in household","Estimate","305"
"TAZ 00100071, Durham County, North Carolina","0 workers","Estimate","185"
"TAZ 00100071, Durham County, North Carolina","1 worker","Estimate","75"
"TAZ 00100071, Durham County, North Carolina","2 workers","Estimate","50"
"TAZ 00100071, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100071, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100072, Durham County, North Carolina","Total, number of workers in household","Estimate","500"
"TAZ 00100072, Durham County, North Carolina","0 workers","Estimate","60"
"TAZ 00100072, Durham County, North Carolina","1 worker","Estimate","245"
"TAZ 00100072, Durham County, North Carolina","2 workers","Estimate","155"
"TAZ 00100072, Durham County, North Carolina","3 workers","Estimate","40"
"TAZ 00100072, Durham County, North Carolina","4-or-more workers","Estimate","4"
"TAZ 00100073, Durham County, North Carolina","Total, number of workers in household","Estimate","555"
"TAZ 00100073, Durham County, North Carolina","0 workers","Estimate","165"
"TAZ 00100073, Durham County, North Carolina","1 worker","Estimate","265"
"TAZ 00100073, Durham County, North Carolina","2 workers","Estimate","85"
"TAZ 00100073, Durham County, North Carolina","3 workers","Estimate","40"
"TAZ 00100073, Durham County, North Carolina","4-or-more workers","Estimate","4"
"TAZ 00100074, Durham County, North Carolina","Total, number of workers in household","Estimate","300"
"TAZ 00100074, Durham County, North Carolina","0 workers","Estimate","75"
"TAZ 00100074, Durham County, North Carolina","1 worker","Estimate","190"
"TAZ 00100074, Durham County, North Carolina","2 workers","Estimate","15"
"TAZ 00100074, Durham County, North Carolina","3 workers","Estimate","20"
"TAZ 00100074, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100076, Durham County, North Carolina","Total, number of workers in household","Estimate","225"
"TAZ 00100076, Durham County, North Carolina","0 workers","Estimate","35"
"TAZ 00100076, Durham County, North Carolina","1 worker","Estimate","150"
"TAZ 00100076, Durham County, North Carolina","2 workers","Estimate","40"
"TAZ 00100076, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100076, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100081, Durham County, North Carolina","Total, number of workers in household","Estimate","605"
"TAZ 00100081, Durham County, North Carolina","0 workers","Estimate","110"
"TAZ 00100081, Durham County, North Carolina","1 worker","Estimate","255"
"TAZ 00100081, Durham County, North Carolina","2 workers","Estimate","245"
"TAZ 00100081, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100081, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100083, Durham County, North Carolina","Total, number of workers in household","Estimate","1,035"
"TAZ 00100083, Durham County, North Carolina","0 workers","Estimate","145"
"TAZ 00100083, Durham County, North Carolina","1 worker","Estimate","475"
"TAZ 00100083, Durham County, North Carolina","2 workers","Estimate","370"
"TAZ 00100083, Durham County, North Carolina","3 workers","Estimate","50"
"TAZ 00100083, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100084, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100084, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100084, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100084, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100084, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100084, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100085, Durham County, North Carolina","Total, number of workers in household","Estimate","300"
"TAZ 00100085, Durham County, North Carolina","0 workers","Estimate","170"
"TAZ 00100085, Durham County, North Carolina","1 worker","Estimate","120"
"TAZ 00100085, Durham County, North Carolina","2 workers","Estimate","4"
"TAZ 00100085, Durham County, North Carolina","3 workers","Estimate","4"
"TAZ 00100085, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100092, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100092, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100092, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100092, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100092, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100092, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100094, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100094, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100094, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100094, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100094, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100094, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100096, Durham County, North Carolina","Total, number of workers in household","Estimate","115"
"TAZ 00100096, Durham County, North Carolina","0 workers","Estimate","20"
"TAZ 00100096, Durham County, North Carolina","1 worker","Estimate","45"
"TAZ 00100096, Durham County, North Carolina","2 workers","Estimate","45"
"TAZ 00100096, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100096, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100500, Durham County, North Carolina","Total, number of workers in household","Estimate","165"
"TAZ 00100500, Durham County, North Carolina","0 workers","Estimate","110"
"TAZ 00100500, Durham County, North Carolina","1 worker","Estimate","55"
"TAZ 00100500, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100500, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100500, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100501, Durham County, North Carolina","Total, number of workers in household","Estimate","240"
"TAZ 00100501, Durham County, North Carolina","0 workers","Estimate","90"
"TAZ 00100501, Durham County, North Carolina","1 worker","Estimate","30"
"TAZ 00100501, Durham County, North Carolina","2 workers","Estimate","120"
"TAZ 00100501, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100501, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100502, Durham County, North Carolina","Total, number of workers in household","Estimate","560"
"TAZ 00100502, Durham County, North Carolina","0 workers","Estimate","95"
"TAZ 00100502, Durham County, North Carolina","1 worker","Estimate","240"
"TAZ 00100502, Durham County, North Carolina","2 workers","Estimate","105"
"TAZ 00100502, Durham County, North Carolina","3 workers","Estimate","25"
"TAZ 00100502, Durham County, North Carolina","4-or-more workers","Estimate","100"
"TAZ 00100505, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100505, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100505, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100505, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100505, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100505, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100506, Durham County, North Carolina","Total, number of workers in household","Estimate","845"
"TAZ 00100506, Durham County, North Carolina","0 workers","Estimate","20"
"TAZ 00100506, Durham County, North Carolina","1 worker","Estimate","690"
"TAZ 00100506, Durham County, North Carolina","2 workers","Estimate","65"
"TAZ 00100506, Durham County, North Carolina","3 workers","Estimate","70"
"TAZ 00100506, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100507, Durham County, North Carolina","Total, number of workers in household","Estimate","795"
"TAZ 00100507, Durham County, North Carolina","0 workers","Estimate","140"
"TAZ 00100507, Durham County, North Carolina","1 worker","Estimate","325"
"TAZ 00100507, Durham County, North Carolina","2 workers","Estimate","315"
"TAZ 00100507, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100507, Durham County, North Carolina","4-or-more workers","Estimate","15"
"TAZ 00100509, Durham County, North Carolina","Total, number of workers in household","Estimate","0"
"TAZ 00100509, Durham County, North Carolina","0 workers","Estimate","0"
"TAZ 00100509, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100509, Durham County, North Carolina","2 workers","Estimate","0"
"TAZ 00100509, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100509, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100511, Durham County, North Carolina","Total, number of workers in household","Estimate","655"
"TAZ 00100511, Durham County, North Carolina","0 workers","Estimate","75"
"TAZ 00100511, Durham County, North Carolina","1 worker","Estimate","405"
"TAZ 00100511, Durham County, North Carolina","2 workers","Estimate","155"
"TAZ 00100511, Durham County, North Carolina","3 workers","Estimate","20"
"TAZ 00100511, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100514, Durham County, North Carolina","Total, number of workers in household","Estimate","985"
"TAZ 00100514, Durham County, North Carolina","0 workers","Estimate","230"
"TAZ 00100514, Durham County, North Carolina","1 worker","Estimate","535"
"TAZ 00100514, Durham County, North Carolina","2 workers","Estimate","215"
"TAZ 00100514, Durham County, North Carolina","3 workers","Estimate","4"
"TAZ 00100514, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100515, Durham County, North Carolina","Total, number of workers in household","Estimate","25"
"TAZ 00100515, Durham County, North Carolina","0 workers","Estimate","10"
"TAZ 00100515, Durham County, North Carolina","1 worker","Estimate","0"
"TAZ 00100515, Durham County, North Carolina","2 workers","Estimate","15"
"TAZ 00100515, Durham County, North Carolina","3 workers","Estimate","0"
"TAZ 00100515, Durham County, North Carolina","4-or-more workers","Estimate","0"
"TAZ 00100519, Durham County, North Carolina","Total, number of workers in household","Estimate","180"
"TAZ 00100519, Durham County, North Carolina","0 workers","Estimate","20"
"TAZ 00100519, Durham County, North Carolina","1 worker","Estimate","125"
