ProjID
15
23
15.407
75.2
202
221
910.01
202201
202202
202203
202101
202102
202301
202401
201801
201802
202103
202501
379
87
434.2
147.03
373
75.1
638.43
638.44
123.11
201
220
113.1
690
111
211
203
48
48.1
650
45.3
704
638
910
1000
203001
481
CHTBRT
CHTNSBRT
DCHCPNR
480.11
DCHCPNR20 
930
931
863.1
202502
202503
940
77.3
346
23.1
240
73
36
35
646
83.11
65.1
64.2
485.61
116.61
434.1
479
438
147.01
69.41
69.31
70.3
70.31
69.21
69.11
69.22
428.11
920
70
70.6
89.3
113.05
147.02
46.1
14.1
92
480.1
626
900
910.02
147EXCBRT
Rail_BRT
DurFwy3
