Parent,Alternatives,ParentNestCoeff
Root,"auto, nonhh_auto, transit",1
auto,"sov, hov2, hov3",0.25
nonhh_auto,"auto_pay, other_auto",0.8855
transit,"w_lb, w_eb",0.653
