Parent,Alternatives,ParentNestCoeff
Root,"auto, nonhh_auto, transit",1.000
auto,"sov, hov2, hov3",0.747
nonhh_auto,"auto_pay, other_auto",0.736
transit,"walk, pnr, knr",1.000
walk,"w_lb, w_eb",0.520
knr,"knr_lb, knr_eb",0.637
pnr,"pnr_lb, pnr_eb",1.000
