Geo_FIPS,total,poverty,non-poverty
370179505012,559,30,529
370179505021,768,325,443
370179505022,426,30,396
370179505023,317,0,317
370179505024,198,20,178
370179506011,187,24,163
370179506012,350,125,225
370179506013,306,141,165
370179506014,354,0,354
370179506021,513,132,381
370179506022,541,109,432
370190201011,687,149,538
370190201012,323,41,282
370190201021,605,133,472
370190201022,1951,173,1778
370190201051,499,32,467
370190201052,1373,10,1363
370190201053,927,93,834
370190201061,1172,269,903
370190201071,218,77,141
370190201072,493,24,469
370190201073,542,65,477
370190201081,401,47,354
370190201082,851,166,685
370190202011,1052,192,860
370190202012,1247,179,1068
370190202031,595,42,553
370190202032,274,51,223
370190202041,299,2,297
370190202042,776,89,687
370190202043,998,59,939
370190202044,857,192,665
370190202051,1423,23,1400
370190202052,902,60,842
370190202053,674,1,673
370190202061,809,203,606
370190203041,360,19,341
370190203042,1620,136,1484
370190203043,971,0,971
370190203044,617,0,617
370190203045,692,77,615
370190203051,307,64,243
370190203052,687,47,640
370190203053,441,9,432
370190203061,383,19,364
370190203062,416,23,393
370190203071,126,4,122
370190203081,159,10,149
370190203082,423,15,408
370190203083,276,4,272
370190203111,595,34,561
370190203112,408,47,361
370190203113,324,81,243
370190203121,214,0,214
370190203122,187,145,42
370190203123,151,0,151
370190203131,438,39,399
370190203132,466,39,427
370190203133,399,10,389
370190203141,240,0,240
370190203151,269,15,254
370190203152,189,68,121
370190203153,213,20,193
370190203154,300,64,236
370190203161,339,21,318
370190204041,534,63,471
370190204042,400,90,310
370190204043,353,54,299
370190204051,564,57,507
370190204052,464,21,443
370190204053,364,66,298
370190204061,120,0,120
370190204062,164,10,154
370190204063,185,8,177
370190204071,257,68,189
370190204072,359,124,235
370190204073,323,124,199
370190204081,538,149,389
370190204082,383,190,193
370190204083,387,40,347
370190204091,484,43,441
370190204092,221,94,127
370190204093,213,33,180
370190204094,162,37,125
370190205041,235,3,232
370190205042,350,16,334
370190205043,421,34,387
370190205051,445,129,316
370190205052,288,61,227
370190205053,839,84,755
370190205081,306,9,297
370190205082,512,10,502
370190205083,306,0,306
370190205084,299,82,217
370190205101,392,63,329
370190205102,451,67,384
370190205103,227,84,143
370190205104,126,10,116
370190205111,601,55,546
370190205112,194,33,161
370190205113,186,31,155
370190205121,114,16,98
370190205122,77,14,63
370190205123,156,5,151
370190205124,126,0,126
370190205131,524,33,491
370190205132,108,15,93
370190205141,360,101,259
370190205142,691,98,593
370190205143,343,14,329
370190205151,621,0,621
370190205152,653,12,641
370190205153,413,0,413
370190205154,670,82,588
370190205161,839,38,801
370190205162,410,0,410
370190205163,684,125,559
370190205171,178,6,172
370190205172,304,93,211
370190205173,496,38,458
370190205174,259,100,159
370190205181,190,11,179
370190205182,329,0,329
370190205183,711,42,669
370190206011,718,87,631
370190206012,778,107,671
370190206013,544,222,322
370190206021,368,46,322
370190206022,894,83,811
370190206023,839,19,820
370190206031,602,18,584
370190206032,606,161,445
370199901000,0,0,0
370210001001,349,132,217
370210001002,290,103,187
370210002001,297,86,211
370210002002,332,35,297
370210003001,713,320,393
370210003002,365,40,325
370210004001,714,57,657
370210004002,285,101,184
370210004003,349,55,294
370210005001,518,31,487
370210005002,276,18,258
370210005003,758,71,687
370210006001,323,52,271
370210006002,619,35,584
370210007001,788,86,702
370210008001,350,63,287
370210008002,614,24,590
370210008003,418,4,414
370210009001,334,50,284
370210009002,436,247,189
370210009003,551,218,333
370210010001,756,120,636
370210010002,1065,246,819
370210011001,897,169,728
370210011002,716,54,662
370210011003,700,64,636
370210012001,393,31,362
370210012002,221,0,221
370210012003,248,0,248
370210012004,650,64,586
370210012005,385,13,372
370210013001,842,229,613
370210013002,343,33,310
370210013003,620,219,401
370210014011,278,30,248
370210014012,673,259,414
370210014013,888,39,849
370210014021,806,60,746
370210014022,340,20,320
370210015001,625,117,508
370210015002,446,65,381
370210016011,609,9,600
370210016012,1052,86,966
370210016021,671,29,642
370210016022,567,124,443
370210017001,536,47,489
370210017002,823,16,807
370210018011,1012,148,864
370210018012,894,58,836
370210018021,1383,74,1309
370210018022,918,57,861
370210019001,1287,77,1210
370210019002,883,126,757
370210020001,1208,236,972
370210020002,732,45,687
370210020003,120,30,90
370210020004,706,99,607
370210021011,581,24,557
370210021021,786,49,737
370210021022,557,25,532
370210021023,637,244,393
370210022031,577,71,506
370210022032,948,110,838
370210022033,514,46,468
370210022041,1483,0,1483
370210022042,2468,205,2263
370210022043,328,26,302
370210022044,383,14,369
370210022051,1172,53,1119
370210022052,982,27,955
370210022053,285,0,285
370210022061,1261,8,1253
370210022062,860,67,793
370210023031,323,0,323
370210023032,612,104,508
370210023033,715,14,701
370210023034,723,0,723
370210023041,579,41,538
370210023051,928,22,906
370210023052,1345,207,1138
370210023061,1005,104,901
370210023062,706,139,567
370210024011,304,23,281
370210024012,980,203,777
370210024021,680,133,547
370210024022,695,71,624
370210024023,440,41,399
370210025031,777,98,679
370210025032,673,63,610
370210025033,213,26,187
370210025041,919,241,678
370210025042,288,39,249
370210025043,537,5,532
370210025051,972,104,868
370210025052,462,0,462
370210025053,525,13,512
370210025061,485,70,415
370210025062,468,98,370
370210025063,236,80,156
370210026031,845,109,736
370210026032,494,83,411
370210026041,529,10,519
370210026042,538,32,506
370210026043,525,63,462
370210026044,711,120,591
370210026061,702,44,658
370210026062,413,30,383
370210026063,780,151,629
370210026071,547,34,513
370210026072,582,82,500
370210026073,423,45,378
370210026081,232,0,232
370210026082,275,84,191
370210026083,453,10,443
370210026084,318,18,300
370210026085,495,94,401
370210026091,415,35,380
370210027011,518,71,447
370210027012,667,28,639
370210027013,146,12,134
370210027021,979,40,939
370210027022,374,38,336
370210027023,694,32,662
370210027041,329,16,313
370210027042,724,69,655
370210027043,261,0,261
370210027044,495,67,428
370210027051,559,15,544
370210028031,368,13,355
370210028032,343,74,269
370210028033,854,145,709
370210028041,346,51,295
370210028042,777,12,765
370210028043,958,77,881
370210029001,787,53,734
370210029002,314,7,307
370210029003,539,58,481
370210030021,346,76,270
370210030022,385,31,354
370210030023,332,94,238
370210030024,1820,258,1562
370210030031,658,45,613
370210030032,997,175,822
370210030033,787,119,668
370210030041,183,34,149
370210030042,759,66,693
370210031031,823,80,743
370210031051,238,9,229
370210031052,453,23,430
370210031053,534,60,474
370210031061,558,0,558
370210031071,918,75,843
370210031072,191,7,184
370210031073,321,0,321
370210031074,565,0,565
370210031081,1155,38,1117
370210032011,741,24,717
370210032021,499,45,454
370210032022,221,37,184
370210032023,511,3,508
370210032024,252,8,244
370210032031,408,39,369
370210032032,325,0,325
370210032033,1548,221,1327
370210032041,876,94,782
370210032042,623,49,574
370210032043,771,96,675
370210032051,686,232,454
370230201001,348,34,314
370230201002,954,257,697
370230201003,441,118,323
370230202021,643,120,523
370230202022,1070,103,967
370230202031,486,48,438
370230202032,798,113,685
370230202041,762,82,680
370230202042,389,52,337
370230203011,670,59,611
370230203012,498,58,440
370230203013,284,46,238
370230203014,771,87,684
370230203031,580,72,508
370230203032,629,127,502
370230203033,914,61,853
370230203041,647,63,584
370230203042,404,37,367
370230205001,756,167,589
370230205002,321,13,308
370230206001,530,153,377
370230206002,285,90,195
370230206003,373,0,373
370230206004,298,58,240
370230206005,545,96,449
370230208011,1002,161,841
370230208012,433,104,329
370230208013,957,133,824
370230208021,634,119,515
370230208022,817,55,762
370230209011,870,51,819
370230209012,591,43,548
370230209021,412,120,292
370230209022,345,0,345
370230209023,579,85,494
370230210001,738,80,658
370230210002,446,33,413
370230210003,756,104,652
370230210004,200,34,166
370230211001,836,130,706
370230211002,638,84,554
370230211003,336,68,268
370230211004,625,119,506
370230212011,459,121,338
370230212012,663,129,534
370230212013,626,121,505
370230212021,585,167,418
370230212022,708,223,485
370230212023,687,60,627
370230212031,921,189,732
370230212032,607,92,515
370230213011,437,82,355
370230213012,435,197,238
370230213013,394,44,350
370230213014,429,44,385
370230213021,532,64,468
370230213022,379,64,315
370230213023,448,107,341
370230214001,917,210,707
370230214002,187,12,175
370230214003,639,109,530
370250405011,650,69,581
370250405012,303,51,252
370250405013,359,0,359
370250405014,371,0,371
370250405015,860,61,799
370250405021,762,109,653
370250405022,852,83,769
370250405023,605,38,567
370250406001,823,26,797
370250406002,404,0,404
370250406003,927,73,854
370250406004,645,85,560
370250407011,410,112,298
370250407012,257,90,167
370250407031,521,116,405
370250407032,334,81,253
370250407041,769,113,656
370250407042,663,150,513
370250407051,469,21,448
370250407052,719,29,690
370250408001,393,40,353
370250408002,435,46,389
370250408003,503,121,382
370250409001,801,72,729
370250410011,564,66,498
370250410012,396,38,358
370250410021,648,126,522
370250410022,325,98,227
370250411001,402,11,391
370250411002,627,75,552
370250411003,766,67,699
370250411004,533,51,482
370250412011,705,100,605
370250412012,666,28,638
370250412021,442,59,383
370250412022,253,0,253
370250412023,1157,16,1141
370250413011,1734,68,1666
370250413012,614,30,584
370250413041,1026,0,1026
370250413042,1169,58,1111
370250413051,589,0,589
370250413052,313,0,313
370250413061,850,29,821
370250413062,896,19,877
370250413071,852,0,852
370250413072,691,0,691
370250413073,734,0,734
370250415031,1542,92,1450
370250415041,494,0,494
370250415042,820,9,811
370250415051,954,73,881
370250415052,885,105,780
370250415053,203,7,196
370250415061,918,40,878
370250415062,723,49,674
370250415071,562,67,495
370250415072,619,0,619
370250416021,637,51,586
370250416022,891,109,782
370250416031,561,102,459
370250416032,817,104,713
370250416041,608,35,573
370250416042,233,0,233
370250416043,407,28,379
370250416044,251,38,213
370250417011,418,17,401
370250417012,472,22,450
370250417013,674,75,599
370250417021,425,116,309
370250417022,453,0,453
370250417023,347,25,322
370250419011,360,178,182
370250419012,362,121,241
370250419021,586,124,462
370250419022,696,268,428
370250419023,230,10,220
370250420001,559,110,449
370250420002,367,44,323
370250420003,829,86,743
370250421011,474,81,393
370250421012,352,58,294
370250421013,269,9,260
370250421014,190,120,70
370250421021,689,43,646
370250421022,751,116,635
370250422011,301,0,301
370250422012,440,24,416
370250422013,411,31,380
370250422021,648,57,591
370250422022,551,0,551
370250422023,264,6,258
370250423001,438,70,368
370250423002,667,118,549
370250423003,660,137,523
370250424011,663,76,587
370250424012,706,83,623
370250424021,507,26,481
370250424022,583,28,555
370250424023,584,130,454
370250424024,272,58,214
370250425011,584,19,565
370250425012,864,61,803
370250425021,465,75,390
370250425022,472,30,442
370250425031,763,86,677
370250425032,1157,62,1095
370250425041,511,5,506
