Trip Purpose,Mode,Trip Rate
Other-to-other,Bicycle,0.0031789415330983235
Other-to-other,Walk,0.023953181184381837
Other-to-other,Transit,0.01263045565431227
Other-to-other,Auto,0.28299725022857314
