Trip_Purpose,Pct_Bicycle,Pct_Walk,Pct_Car,Pct_Bus,Pct_AllModes
UC1,2.5591720308946653,83.00413995455415,7.97154791015304,6.465140104398145,100
UCC,0,0,29.61748309508555,70.38251690491445,100
UCO,2.9347893259891866,24.364650581185355,56.43284814715983,16.267711945665624,100
UHC,1.6021511359046565,13.32311322467541,55.33622640666652,29.738509232753415,100
UHO,1.6575913293555573,6.087713224254896,90.02074128095393,2.2339541654356196,100
