Trip Purpose,Percent Bicycle,Percent Walk,Percent Transit,Percent Auto,Total
Home-Campus,3.4102453663235255,62.09923051552102,18.805763116065037,15.684761002090411,100
Home-Other,5.298068231499403,7.947102347249105,3.0525345024029065,83.70229491884858,100
