trip_type,sov,hov2,hov3
N_HB_K12_All,0.03469048969209841,0.3337993911742249,0.6315101191336767
N_HB_OD_Long,0.1468168825289255,0.4518223585720208,0.4013607588990537
N_HB_OD_Short,0.2044009546249588,0.25874172736960516,0.536857318005436
N_HB_OME_All,0.12495200718921914,0.5968209005752098,0.2782270922355712
N_HB_OMED_All,0.06538871319233625,0.7601422042339119,0.17446908257375196
W_HB_EK12_All,0,1,0
W_HB_O_All,0.5276819843829963,0.2791853971390368,0.19313261847796698
W_HB_W_All,0.4745185810054248,0.2799257495859344,0.2455556694086407
