tour_type,tod,pa_flag,pct
N,AM,PA,0.7993033778643954
N,AM,AP,0.20069662213560457
N,MD,PA,0.48665307647113626
N,MD,AP,0.5133469235288637
N,PM,PA,0.4208854874885321
N,PM,AP,0.5791145125114678
N,NT,PA,0.41674716357986696
N,NT,AP,0.583252836420133
W,AM,PA,0.994610155077398
W,AM,AP,0.005389844922601954
W,MD,PA,0.5702619781759737
W,MD,AP,0.4297380218240264
W,PM,PA,0.045771705077634506
W,PM,AP,0.9542282949223655
W,NT,PA,0.44877153283201415
W,NT,AP,0.5512284671679858
