orig_taz,dest_taz,purpose,attraction_district,attraction_taz,observed_trips,distance,estimated,category
28,3309,IX,8,28,110.18842023611069,16.2647,9.628324556,Non-freeway
28,3311,IX,8,28,80.37451171875,7.16092,13.064793432,Non-freeway
28,3313,IX,8,28,639.9126565754414,7.14532,137.33437081,Freeway
28,3317,IX,8,28,5.094373404979706,15.9112,1.1331903220000001,Non-freeway
33,3235,IX,18,33,2.2691964507102966,36.7254,2.048404837,Non-freeway
33,3237,IX,18,33,0.9825487732887268,48.9896,0.4207378604,Non-freeway
33,3252,IX,18,33,12.16032326221466,38.8435,6.993546858,Freeway
33,3261,IX,18,33,3.3667731285095215,56.0835,0.1843607924,Non-freeway
33,3277,IX,18,33,2.543701410293579,56.1798,2.2653962522,Freeway
33,3281,IX,18,33,1.798880696296692,65.6875,0.2725026707,Freeway
33,3289,IX,18,33,1.1575959920883179,59.0671,1.482264901,Non-freeway
33,3295,IX,18,33,3.663287043571472,56.4353,0.8791323386,Non-freeway
33,3297,IX,18,33,1.4006342887878418,58.1468,0.35563838059999997,Non-freeway
33,3305,IX,18,33,0.6219151020050049,38.1217,9.04741702,Freeway
33,3308,IX,18,33,40.83626586198807,21.0112,34.62781354,Freeway
33,3311,IX,18,33,1.9828059673309326,31.8319,1.973765109,Non-freeway
33,3313,IX,18,33,4.571177124977112,34.3261,27.20371623,Freeway
33,3318,IX,18,33,1.854298710823059,25.2017,2.9171442053,Non-freeway
33,3323,IX,18,33,46.65070657432079,32.874,58.48354134,Freeway
38,3235,IX,18,38,0.903209924697876,42.4357,0.11176753421999999,Non-freeway
38,3252,IX,18,38,1.6428595781326294,46.0988,0.3597301931,Freeway
38,3295,IX,18,38,2.6404329538345337,54.5156,0.10069424067,Non-freeway
38,3296,IX,18,38,1.4781792163848877,55.8982,0.012984815,Non-freeway
38,3308,IX,18,38,36.96503269672394,15.1834,7.722652504,Freeway
38,3309,IX,18,38,1.4796983003616333,22.9361,1.827523384,Non-freeway
38,3313,IX,18,38,18.411255657672882,28.4983,5.879666201,Freeway
38,3317,IX,18,38,0.8464217185974121,26.0346,0.1304722799,Non-freeway
38,3322,IX,18,38,3.0439677238464355,33.623,0.13064221108,Non-freeway
38,3323,IX,18,38,17.769863307476044,38.5844,3.335761953,Freeway
48,3235,IX,21,48,1.100082516670227,66.6746,0.0079289896,Non-freeway
48,3252,IX,21,48,4.000554084777832,59.2628,0.06579578943,Freeway
48,3289,IX,21,48,5.248032212257385,63.6806,0.05658856188,Non-freeway
48,3303,IX,21,48,4.065875470638275,32.5962,0.2470025133,Non-freeway
48,3305,IX,21,48,27.02892827987671,24.4208,1.9577736789999998,Freeway
48,3306,IX,21,48,770.8655091524124,3.9583,5.736424821,Non-freeway
48,3308,IX,21,48,779.932844042778,10.3561,8.183512164,Freeway
48,3313,IX,21,48,45.48781245946884,31.4165,1.453283624,Freeway
48,3317,IX,21,48,8.971547484397888,30.2067,0.02795462155,Non-freeway
50,3235,IX,21,50,3.0702786445617676,50.5738,0.03889334435,Non-freeway
50,3252,IX,21,50,0.9097272157669067,53.8319,0.21458557832,Freeway
50,3273,IX,21,50,4.5219115018844604,54.7209,0.2095702783,Freeway
50,3277,IX,21,50,1.7625375986099243,56.7084,0.20235854696,Freeway
50,3295,IX,21,50,3.2981122732162476,57.747,0.10177980364,Non-freeway
50,3298,IX,21,50,2.3597941398620605,58.4621,0.2416014189,Freeway
50,3302,IX,21,50,2.976348638534546,41.1457,0.11800752617000002,Non-freeway
50,3305,IX,21,50,0.8016952872276306,31.6023,1.949350398,Freeway
50,3308,IX,21,50,748.9707389473915,6.5655,32.514747150000005,Freeway
50,3311,IX,21,50,2.7365970611572266,21.5166,0.7489154307,Non-freeway
50,3313,IX,21,50,30.044221341609955,30.8795,5.885188221,Freeway
50,3317,IX,21,50,11.68020623922348,28.4159,0.1273474782,Non-freeway
57,3252,IX,8,57,2.1618672609329224,52.2235,0.5071736699,Freeway
57,3273,IX,8,57,3.4497042894363403,62.8865,0.2491103918,Freeway
57,3277,IX,8,57,4.129326701164246,64.8739,0.24091604212,Freeway
57,3295,IX,8,57,1.3658134937286377,65.9125,0.11381229583,Non-freeway
57,3302,IX,8,57,1.7524082660675049,52.2277,0.09974830874,Non-freeway
