ext_station,ADT,PCTCV,PCTAUTOEE,adt,pctcv,pct_auto_ee,pctcv_mut,pctcv_sut
3235,8000,11,14.9751,3523.9217707573607,20.79931636506071,30.114181435666293,17.347476144928095,3.4518402201326186
3236,2200,8,1.96102,927.2462774268059,12.751937597023689,24.192935338254376,7.811683983818576,4.940253613205112
3237,5100,9,1.96328,2176.403720828029,8.585439709254405,22.404065823241563,5.840652936662808,2.744786772591597
3242,3900,15,1.14771,1701.149596820196,13.044814769954726,24.037867472973236,9.062586487271874,3.9822282826828537
3243,2400,12,2.02323,1567.6900301076994,8.670650776843704,38.4151784197528,5.194610767087012,3.4760400097566944
3245,1300,3,0,3931.135638749938,2.0248144275303033,15.341114235322788,0.23882204341542485,1.7859923841148784
3248,3100,12,19.6333,1902.1638755664724,27.554616602568455,26.830786431349395,23.74573272484027,3.8088838777281895
3252,35000,15,70.1233,25645.140911919578,13.788349029950151,53.532289766741826,10.810670517522487,2.9776785124276657
3253,4800,6,24.1177,2559.536422925444,16.075865943031534,8.96222522543891,11.218718108989712,4.857147834041823
3254,4100,10,18.4123,3656.062947585656,9.40261301596015,7.882555213618657,6.879426483076425,2.5231865328837237
3257,12000,10,26.3625,7315.241872635189,14.917871361931716,8.723162984183194,13.101224974131846,1.8166463877998713
3260,4200,8,7.23293,4087.481656769541,8.143376946839775,44.800270000188,4.736425825736967,3.406951121102807
3261,3000,10,15.3525,1775.7138420478313,9.924699757043172,51.72497019214701,6.214745985503664,3.709953771539508
3263,4800,6,8.80858,2057.615260154747,10.382197565431872,8.999643997651068,6.44272561487912,3.939471950552752
3265,2700,10,8.96869,1198.9386913560406,11.455420776953586,56.49165214672345,9.538476837767329,1.916943939186257
3267,1200,12,6.05319,1682.431408502935,12.453687201557397,18.454027685799606,6.967475920998692,5.486211280558704
3272,3000,6,7.99716,1171.9448068302777,11.533183437328349,4.149852018108178,4.712434402881476,6.820749034446873
3273,25000,10,51.3554,15209.746795784517,14.851104205018599,31.016463975172773,12.463912570043426,2.3871916349751707
3274,2400,6,7.18575,1027.0614438136017,7.9189678534264605,2.566490719029652,3.334453071879749,4.58451478154671
3275,1600,10,0,2141.6119907776674,4.973446256029878,69.78582111453343,2.119251495826248,2.85419476020363
3276,930,3,0,106.63394034147618,3.0188382699132195,76.28586462299783,0.03126355752167958,2.98757471239154
3277,29000,9,44.1581,20161.957855513534,15.008587728351413,38.00320820596013,12.907447293516169,2.101140434835246
3280,3900,10,0,2328.680170040472,4.4949041468427575,0,2.1594423988004583,2.335461748042299
3281,26000,19,75,26149.955114708955,16.31322974367532,83.0345647359445,12.419998514624107,3.893231229051212
3282,0,0,0,3483.402419607783,9.681686095037255,34.204855487167954,6.636853632603548,3.0448324624337064
3283,0,0,0,4173.804015766561,7.286037846242009,37.33837024228693,3.3412837570654057,3.9447540891766035
3289,0,0,0,15914.985302598065,6.470685890466428,21.879356536245833,4.025843634252553,2.4448422562138754
3291,0,0,0,2201.132000244532,7.771106511700655,14.032006646903321,4.605418706020304,3.165687805680351
3295,0,0,0,12093.096942335322,9.127073113582746,39.08375688244381,7.042553863036568,2.0845192505461774
3296,0,0,0,1917.3628920660253,8.324494378321624,46.81298013731558,4.540917916368735,3.78357646195289
3297,0,0,0,964.8476663085971,7.416270019983399,10.102960713186322,5.4482682501869695,1.9680017697964292
3298,57000,16,45.9381,37430.67131611213,16.441897284453535,66.29306368415808,13.09029202878309,3.3516052556704468
3299,6400,6,0,3599.953799799933,6.31510249658038,16.064483932567878,0.6240657870815158,5.6910367094988645
3301,4300,6,0,2107.285208424877,1.4554448196370091,0,0.320543133175967,1.1349016864610422
3302,5500,6,6.92823,2683.527068278922,3.3516786882806184,0.0314578132777862,1.1736727296484935,2.178005958632125
3303,13000,10,9.87712,6359.314689084112,7.3696892261581075,36.61353812205149,3.602801309380013,3.766887916778094
3305,32000,6,9.67055,14573.412911429796,6.666316172501077,19.49562113002305,4.0320438402560885,2.634272332244989
3306,2300,8,0,2101.5464120350643,9.72597163099017,1.4183877306473276,5.592120818617199,4.133850812372971
3308,29000,8,24.9908,17249.854648849956,11.022019486916161,12.042042756816175,9.068303161279307,1.9537163256368566
3309,7500,8,25.325,3699.70314333671,10.04160711602208,24.69273203382122,7.620781640666678,2.4208254753554
3311,1400,6,10.5577,1567.8528703076267,6.378869682280181,2.5985728535501686,3.9726539477282476,2.4062157345519326
3313,21000,10,19.3917,10491.165972448125,12.879067918769161,15.05205981677965,11.122234138427244,1.756833780341918
3317,3000,10,24.2401,1716.9463850557688,20.52254503894947,65.26034257367137,15.877722704172047,4.644822334777424
3318,3000,3,0,1950.260265128003,5.915989639350617,1.558909101377621,1.6071797521349378,4.308809887215679
3319,4500,3,0,545.3056503610322,18.38654454243096,2.2261839771145766,9.248391060308554,9.138153482122407
3321,18200,6,0,10281.349401904601,2.399499889950596,27.427040519560727,0.9673808061314634,1.4321190838191329
3322,3000,6,0,7153.604306080341,2.4523552726792412,42.59658494949169,0.27688018129297687,2.1754750913862644
3323,117000,14,50,68297.18872777483,12.402520319440574,37.769290032275684,9.954439755068933,2.4480805643716406
3326,8300,6,0,2710.5048095880716,6.880435693511006,3.978683399667762,2.89505053957491,3.985385153936095
3328,3400,3,0,2870.8904443828374,11.345197746074225,42.845916582690194,7.947009519817497,3.3981882262567282
3329,2400,16,15.7495,1352.2366122655571,12.547859418161126,37.530076087971864,10.191822823180713,2.356036594980414
