Param,access_nm_walk,Description
skim,walk,defines which skim will be used
core,WalkTime,defines which skim core to use
b,0.563,defines the beta (b) parameter for the gamma function
c,-0.1896,defines the gamma (c) parameter for the gamma function
wHH,0.037543,All fields below here create the size/attracation fields
wK12,0.005133,using a sumproduct approach
wStudGQ_NCSU,0.021174,
wStudGQ_UNC,0.021174,
wStudGQ_DUKE,0.021174,
wStudGQ_NCCU,0.021174,
wCollegeOn,0.021174,
wRetail,0.007263,
