projid,master_route_id,scenario_route_id,master_length,scenario_length,diff,pct_diff,missing_stops
58,101,48,5.736949,5.737009,0.00006,0,0
58,406,192,7.899921,7.900107,0.000186,0,0
59,103,49,5.10099,5.100862,-0.000128,0,0
59,347,145,5.793757,5.537338,-0.256419,-4.43,0
60,339,142,5.368514,5.369075,0.000561,0.01,0
60,348,146,7.437837,7.437775,-0.000062,0,0
61,107,50,3.278184,3.271089,-0.007095,-0.22,0
61,352,147,5.996404,5.977357,-0.019047,-0.32,0
62,109,51,9.602589,9.396488,-0.206101,-2.15,0
62,245,97,10.523237,10.317136,-0.206101,-1.96,0
63,336,140,17.156616,17.157319,0.000703,0,0
63,337,141,17.872639,17.746826,-0.125813,-0.7,0
64,112,52,7.164702,7.160968,-0.003733,-0.05,0
64,113,53,8.525208,8.52517,-0.000039,0,0
65,114,54,4.733234,4.733286,0.000052,0,0
65,246,98,7.406362,7.12324,-0.283122,-3.82,0
66,393,179,11.106895,11.107036,0.000141,0,0
66,394,180,11.820944,11.682013,-0.138931,-1.18,0
67,117,55,10.177465,10.094918,-0.082547,-0.81,0
67,306,115,10.688036,10.30481,-0.383226,-3.59,0
68,120,56,9.928069,9.851945,-0.076124,-0.77,0
68,121,57,8.422006,8.417399,-0.004607,-0.05,0
69,366,153,11.161366,11.057775,-0.103591,-0.93,0
69,367,154,7.287297,7.020849,-0.266449,-3.66,0
70,391,177,13.53997,13.495258,-0.044712,-0.33,0
70,392,178,12.690846,12.421342,-0.269504,-2.12,0
71,363,150,20.459528,20.158797,-0.300731,-1.47,0
71,365,152,20.097451,19.718714,-0.378737,-1.88,0
72,128,58,5.677456,5.55159,-0.125866,-2.22,0
72,129,59,5.863739,5.787471,-0.076268,-1.3,2
73,130,60,2.59193,2.592068,0.000138,0.01,0
73,131,61,1.278024,1.271054,-0.00697,-0.55,0
74,132,62,8.183555,8.121434,-0.062121,-0.76,0
74,133,63,8.271881,8.203862,-0.068019,-0.82,0
75,134,64,2.742589,2.742461,-0.000127,0,0
75,135,65,3.458653,3.408753,-0.0499,-1.44,0
76,137,66,11.801485,11.589753,-0.211732,-1.79,0
76,405,191,12.59681,12.312149,-0.284661,-2.26,0
77,138,67,4.971484,4.97148,-0.000003,0,0
78,140,68,5.118574,5.038521,-0.080053,-1.56,0
78,404,190,6.511634,6.303297,-0.208337,-3.2,0
79,141,69,16.028595,15.870281,-0.158314,-0.99,0
79,281,109,17.132674,17.131952,-0.000722,0,0
80,143,70,19.602425,19.451857,-0.150568,-0.77,0
80,144,71,19.54737,19.468018,-0.079352,-0.41,0
81,145,72,24.32248,24.225387,-0.097093,-0.4,0
81,146,73,22.496131,22.349689,-0.146442,-0.65,0
82,148,74,9.854604,9.574747,-0.279858,-2.84,0
82,353,148,11.192756,11.189126,-0.003629,-0.03,0
83,368,155,3.615104,3.470832,-0.144272,-3.99,0
84,152,75,13.226082,13.231115,0.005033,0.04,0
84,153,76,13.108876,12.720169,-0.388707,-2.97,0
85,154,77,18.843738,18.726096,-0.117641,-0.62,0
85,155,78,18.874114,18.873999,-0.000116,0,0
86,156,79,3.379759,3.379745,-0.000015,0,0
86,157,80,3.379759,3.379745,-0.000015,0,0
87,408,194,15.434891,15.213722,-0.221169,-1.43,0
87,409,195,14.78176,14.707809,-0.073951,-0.5,0
88,161,81,10.715389,10.715361,-0.000028,0,0
88,262,100,10.751866,10.751837,-0.00003,0,0
89,410,196,11.40186,11.401887,0.000027,0,0
89,411,197,12.683029,12.550496,-0.132533,-1.04,0
90,412,198,11.932931,11.933014,0.000083,0,0
90,413,199,12.618297,12.618229,-0.000068,0,0
91,431,217,15.074916,14.940252,-0.134664,-0.89,0
91,432,218,12.390482,12.241758,-0.148725,-1.2,0
92,414,200,14.534994,14.513244,-0.02175,-0.15,0
92,425,211,17.838121,17.679893,-0.158228,-0.89,0
93,415,201,16.033737,16.012307,-0.02143,-0.13,0
93,419,205,16.536964,16.515709,-0.021255,-0.13,0
93,430,216,18.374498,18.35913,-0.015368,-0.08,0
94,416,202,6.915831,6.794923,-0.120908,-1.75,0
94,454,240,7.056374,7.055414,-0.00096,-0.01,0
95,436,222,16.75642,16.53425,-0.22217,-1.33,0
95,437,223,16.103289,16.028337,-0.074952,-0.47,0
96,417,203,5.92302,5.89515,-0.027869,-0.47,0
96,442,228,5.919512,5.919526,0.000014,0,0
97,418,204,16.012054,15.770905,-0.241149,-1.51,0
97,443,229,20.031736,20.010323,-0.021413,-0.11,0
98,427,213,12.707417,12.140995,-0.566422,-4.46,0
98,444,230,13.636553,12.998489,-0.638064,-4.68,0
99,433,219,11.754413,11.556208,-0.198205,-1.69,0
99,434,220,10.043205,9.955707,-0.087498,-0.87,0
100,420,206,5.852944,5.786149,-0.066795,-1.14,0
100,445,231,6.916937,6.91696,0.000024,0,0
101,435,221,12.390036,12.434624,0.044588,0.36,0
101,455,241,13.662105,13.661952,-0.000152,0,0
102,421,207,11.999332,11.660065,-0.339266,-2.83,0
102,453,239,13.81546,13.744008,-0.071451,-0.52,0
103,438,224,6.514048,6.205355,-0.308694,-4.74,0
103,446,232,3.917141,3.917144,0.000003,0,0
104,371,157,3.574887,3.574887,0,0,0
104,372,158,3.898808,3.89881,0.000001,0,0
105,422,208,10.036586,9.915701,-0.120885,-1.2,0
105,447,233,8.800439,8.800457,0.000018,0,0
106,423,209,6.090041,5.969402,-0.120639,-1.98,0
106,448,234,7.371632,7.371637,0.000005,0,0
107,378,164,4.501044,4.498808,-0.002236,-0.05,0
108,200,82,3.247467,3.246843,-0.000624,-0.02,0
108,201,83,3.337489,3.337798,0.000309,0.01,0
109,381,167,4.862528,4.876623,0.014095,0.29,0
110,341,143,4.107333,4.012037,-0.095296,-2.32,0
111,205,84,4.352794,4.326624,-0.02617,-0.6,0
111,388,174,4.059941,3.918232,-0.14171,-3.49,0
112,382,168,3.486441,3.486921,0.00048,0.01,0
113,390,176,4.198317,4.071105,-0.127212,-3.03,0
114,387,173,3.490339,3.490692,0.000353,0.01,0
115,380,166,4.405552,4.280355,-0.125197,-2.84,0
116,379,165,4.024516,4.024777,0.00026,0.01,0
117,212,85,3.655564,3.655566,0.000001,0,0
117,389,175,3.560029,3.462277,-0.097752,-2.75,0
118,213,86,1.524102,1.524113,0.000011,0,0
118,214,87,1.524102,1.524113,0.000011,0,0
119,375,161,3.37581,3.375892,0.000082,0,1
119,376,162,3.37581,3.361113,-0.014697,-0.44,0
120,217,88,1.75984,1.759843,0.000004,0,0
120,218,89,1.839783,1.839785,0.000001,0,0
121,219,90,2.152819,2.152827,0.000007,0,0
122,220,91,3.912594,3.912619,0.000025,0,0
122,373,159,3.490852,3.490852,0,0,0
123,223,92,1.576626,1.56185,-0.014776,-0.94,1
123,377,163,1.840836,1.840837,0.000002,0,1
124,374,160,3.663218,3.663261,0.000043,0,0
125,225,93,3.511663,3.511667,0.000004,0,0
126,370,156,3.893707,3.894707,0.000999,0.03,0
127,227,94,1.961532,1.961544,0.000012,0,0
127,228,95,1.961532,1.961544,0.000012,0,0
128,399,185,16.308443,15.891888,-0.416556,-2.55,0
129,332,136,13.734918,13.478568,-0.256349,-1.87,0
129,333,137,13.728612,13.74199,0.013378,0.1,0
130,233,96,9.630012,9.622439,-0.007573,-0.08,0
130,310,118,7.636843,7.628998,-0.007845,-0.1,0
130,334,138,12.784618,12.682664,-0.101954,-0.8,0
130,335,139,13.363455,12.990459,-0.372996,-2.79,0
131,282,110,31.145496,31.117875,-0.027621,-0.09,0
132,424,210,4.834367,4.834364,-0.000003,0,0
132,449,235,5.467549,5.467546,-0.000003,0,0
133,441,227,27.720178,27.673023,-0.047155,-0.17,0
133,452,238,24.119175,24.099483,-0.019692,-0.08,0
134,279,107,14.323395,14.194983,-0.128412,-0.9,0
134,280,108,14.335561,14.220965,-0.114595,-0.8,0
135,285,113,17.188188,17.186798,-0.001391,-0.01,0
135,287,114,10.411124,10.411128,0.000004,0,0
