TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE
978,Internal,192,450,36778,44,4.5,25,0,0,183,633,33,10,212,23,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
979,Internal,36,128,65082,46,23.4,30.4,0,0,0,128,6,8,20,2,31,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,Internal,181,500,51875,44,27.4,11,0,11,0,511,210,5,10,0,12,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981,Internal,551,1679,63895,46,27.5,8.2,0,0,0,1679,19,22,2,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982,Internal,573,1590,63895,46,27.5,8.2,0,0,0,1590,33,146,54,1,10,53,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0
983,Internal,188,509,63895,46,27.5,8.2,0,0,0,509,49,7,20,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
984,Internal,210,464,36000,45,15.3,21.5,0,0,0,464,193,245,335,111,110,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985,Internal,230,468,52134,46,25,8.6,0,0,0,468,9,109,129,27,137,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
986,Internal,334,862,60854,45,25.6,11.4,0,3,0,865,0,45,32,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
987,Internal,19,29,36000,45,15.3,21.5,0,0,0,29,0,140,24,0,25,38,0,0,0,0,0,0,0,0,0,0,0,0,1548,0,0,0,0,0,0,0
