Person_ID,On_campus,Graduate,Have_car,Have_parking_permit,Start_PlaceID,Start_PlaceType,End_PlaceID,End_PlaceType,TAZ_o,TAZ_d,Origin_PA,Destination_PA,TAZ_P,TAZ_A,Trip_Purpose,UHC,UHO,UCO,UC1,UOO,UCC,Campus_TAZ_A,Campus_TAZ_P,Purpose,Primary_Mode,Bicycle,Bus,Car,Carpool,Walk,Other,distance_miles,distance_zonetozone,Weight,Bicycle_W,Bus_W,Car_W,Carpool_W,Walk_W,Other_W
1027,0,1,Yes,Yes,1027001,North Carolina State University,1027002,Other,1486,1617,P,A,1486,1617,UCO,0,0,1,0,0,0,NA,NCSU_Main,Recreational / Social / Community Service / Personal,Car,0,0,1,0,0,0,3.9834731825670975,4.434009,66.4210526,0,0,66.4210526,0,0,0
1027,0,1,Yes,Yes,1027002,Other,1027003,Home,1617,1662,A,P,1662,1617,UHO,0,1,0,0,0,0,NA,NA,Go home,Car,0,0,1,0,0,0,2.606852247090593,8.066439,66.4210526,0,0,66.4210526,0,0,0
1028,0,1,Yes,Yes,1028000,Home,1028001,North Carolina State University,1650,3056,P,A,1650,3056,UHC,1,0,0,0,0,0,NCSU_Main,NA,Attend Classes / Study / Research,Bus,0,1,0,0,0,0,1.4624722077816725,2.19562,52.304878,0,52.304878,0,0,0,0
1028,0,1,Yes,Yes,1028001,North Carolina State University,1028002,Home,3056,3032,A,P,3032,3056,UHC,1,0,0,0,0,0,NCSU_Main,NCSU_Centennial,Go home,Bus,0,1,0,0,0,0,1.4421859039368266,1.867895,52.304878,0,52.304878,0,0,0,0
1028,0,1,Yes,Yes,1028002,Home,1028003,North Carolina State University,3032,3040,P,A,3032,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NCSU_Centennial,Attend Classes / Study / Research,Car,0,0,1,0,0,0,0.8993219134662698,1.75804,52.304878,0,0,52.304878,0,0,0
1028,0,1,Yes,Yes,1028003,North Carolina State University,1028004,Home,3040,3032,A,P,3032,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NCSU_Centennial,Go home,Car,0,0,1,0,0,0,0.8786192785369473,1.75804,52.304878,0,0,52.304878,0,0,0
1028,0,1,Yes,Yes,1028004,Home,1028005,North Carolina State University,3032,3040,P,A,3032,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NCSU_Centennial,Work,Car,0,0,1,0,0,0,0.8098484696134778,1.75804,52.304878,0,0,52.304878,0,0,0
1028,0,1,Yes,Yes,1028005,North Carolina State University,1028006,Home,3040,3032,A,P,3032,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NCSU_Centennial,Go home,Car,0,0,1,0,0,0,0.8235793577582405,1.75804,52.304878,0,0,52.304878,0,0,0
1029,0,0,Yes,Yes,1029000,Home,1029001,North Carolina State University,1650,3040,P,A,1650,3040,UHC,1,0,0,0,0,0,NCSU_Centennial,NA,Attend Classes / Study / Research,Car,0,0,1,0,0,0,0.9484009681590188,2.02381,174.3768,0,0,174.3768,0,0,0
1029,0,0,Yes,Yes,1029001,North Carolina State University,1029002,North Carolina State University,3040,1650,P,A,3040,1650,UC1,0,0,0,1,0,0,NA,NCSU_Centennial,Dining / Shopping,Car,0,0,1,0,0,0,0.948296029686309,2.02381,174.3768,0,0,174.3768,0,0,0
