tour_type,homebased,purpose,duration,samples,wTrips,r_othpers,r_is_worker,r_othworkers,r_is_senior,r_othseniors,r_is_kid,r_othkids,r_hhincome,r_hhveh,pct_bike,pct_bus,pct_hov,pct_sov,pct_walk,pct_other,pct_AM,pct_MD,pct_NT,pct_PM,wAvgTrpLen,r_emp,r_ret,r_ind,r_off,r_svh,r_svl
WT,HB,K12,All,329,67074,0.115,0.155,0.105,-0.076,-0.062,-0.076,0.192,0.092,0.016,0.3,1.1,86.1,12.3,0.2,,76.2,7.2,16.7,,4.99,-0.007,-0.064,0.031,0.021,-0.107,0.002
WT,HB,O,All,2409,513753,-0.069,0.407,0.199,-0.151,-0.107,-0.204,0.024,0.101,0.001,0.5,0.6,29.9,63.3,5.7,0.1,14.9,25.1,32.6,27.5,5.29,0.281,0.506,0.062,0.042,0.18,0.15
WT,HB,W,All,3610,646543,-0.121,0.56,0.299,-0.212,-0.142,-0.278,-0.048,0.046,0.033,1.2,2.1,8.1,86.7,1.8,0.1,29,17.1,27,26.9,10.73,0.594,0.159,0.184,0.459,0.161,0.399
WT,NHB,All,All,2748,1110049,-0.077,0.393,0.184,-0.145,-0.106,-0.196,0.022,0.066,-0.016,0.3,1.8,21.2,64,12.4,0.3,15,42.6,13.4,28.9,5.76,0.598,0.509,0.128,0.329,0.309,0.386
NT,HB,EAT,All,1260,277356,-0.055,-0.027,-0.072,0.068,0.07,-0.061,-0.042,0.031,0.018,0.7,0.3,67,26.8,5.1,0.1,3.8,22.6,51.1,22.5,4.69,0.202,0.394,-0.024,0.002,0.069,0.07
NT,HB,K12,All,1152,411097,0.293,-0.277,0.14,-0.143,-0.093,0.567,0.158,0.103,0.07,0.5,33,52.7,10.9,2.9,0,38,17.5,16.3,28.3,4.92,-0.058,-0.11,-0.079,0.065,-0.05,-0.099
NT,HB,OD,All,5502,1861045,0.052,-0.145,-0.084,0.016,0.002,-0.004,0.095,0.018,-0.017,1.6,1.7,46.2,31.4,18.9,0.2,15.2,24.7,33.1,27,5.14,0.192,0.116,0.041,0.11,0.325,0.102
NT,HB,OM,MED,1206,263448,-0.102,-0.112,-0.188,0.168,0.11,-0.092,-0.075,-0.041,-0.025,0.1,2.1,43.4,51.1,3.4,,8.7,56.9,9.5,24.9,6.84,0.255,0.105,-0.016,0.026,0.062,0.307
NT,HB,SHP,All,2683,644016,-0.086,-0.157,-0.211,0.155,0.109,-0.11,-0.059,-0.068,-0.031,0.5,1,48.5,45.1,4.6,0.2,3,47.2,24.6,25.2,4.4,0.318,0.643,-0.022,-0.002,0.114,0.128
NT,NHB,O,All,2213,668749,0.033,-0.118,-0.061,0.016,0.002,0.058,0.056,-0.009,-0.026,1.1,10,49.6,24.4,11.6,3.4,14.4,40.9,14.7,30,4.99,0.258,0.118,0.106,0.117,0.296,0.192
NT,NHB,SHP,EAT,2410,647124,-0.06,-0.14,-0.173,0.112,0.059,-0.074,-0.011,-0.06,-0.033,0.6,0.9,56,36.5,5.8,0.2,5.3,52.6,20,22.1,4.96,0.244,0.54,0.038,0.021,0.092,0.084
NT,NHB,SHP,EAT,1193,317549,-0.066,-0.105,-0.148,0.123,0.078,-0.079,-0.047,-0.05,-0.025,0,0.5,51,43.2,5.2,0.1,2.5,56.1,19,22.4,3.77,0.334,0.615,-0.004,-0.022,0.063,0.136
