tour_type,homebased,purpose,duration,samples,wTrips,r_size,r_seniors,r_kids,r_income,r_veh,pct_AM,pct_MD,pct_NT,pct_PM,pct_bike,pct_bus,pct_hov,pct_sov,pct_walk,pct_other,wAvgTrpLen,r_emp,r_ret,r_ind,r_off,r_svh,r_svl
WT,HB,K12,All,363,67296,0.091,-0.063,0.062,0.058,-0.053,75.9,7.1,17,,0.3,1.1,86.1,12.2,0.2,,4.98,-0.011,-0.064,0.032,0.016,-0.107,-0.006
WT,HB,O,All,3419,513531,0.172,-0.043,0.124,0.206,0.117,14.9,35.2,27,22.9,0.5,0.6,29.9,63.3,5.7,0.1,5.3,0.279,0.506,0.062,0.041,0.18,0.148
WT,HB,W,All,5897,646543,0.14,-0.104,-0.014,0.089,0.167,29,27.1,22.7,21.3,1.2,2.1,8.1,86.7,1.8,0.1,10.73,0.594,0.159,0.184,0.459,0.161,0.399
WT,NHB,OP,All,4694,719978,0.042,-0.022,0.014,0.079,0.04,,84.9,15.1,,0.2,1.4,20.8,61.9,15.3,0.4,5.15,0.555,0.462,0.12,0.31,0.275,0.348
WT,NHB,PK,All,2380,390071,0.168,-0.108,0.183,0.098,0.05,42.8,,,57.2,0.4,2.5,21.8,68,7.1,0.2,6.87,0.458,0.39,0.059,0.235,0.253,0.31
NT,HB,K12,All,1992,412107,0.423,-0.047,0.412,0.085,0.05,37.9,40,15.5,6.5,0.5,33,52.8,10.8,3,0,4.92,-0.064,-0.11,-0.079,0.058,-0.06,-0.096
NT,HB,O,All,16686,2400839,0.461,-0.051,0.427,0.163,0.162,13.1,40.1,27.4,19.3,1.3,1.5,48.3,33,15.6,0.2,5.27,0.303,0.315,0.04,0.113,0.326,0.21
NT,HB,SHP,All,4504,644016,0.299,-0.028,0.215,0.086,0.111,3,60.4,20.8,15.8,0.5,1,48.5,45.1,4.6,0.2,4.4,0.318,0.643,-0.022,-0.002,0.114,0.128
NT,NHB,All,All,9391,1633422,0.28,-0.034,0.254,0.051,0.092,8.5,63.7,14.6,13.3,0.7,4.5,52.4,32.8,8.1,1.5,4.73,0.338,0.631,0.07,0.056,0.201,0.174
