tour_type,homebased,purpose,duration,wTrips,r_size,r_senior,r_kid,r_income,r_veh,pct_AM,pct_MD,pct_NT,pct_PM,pct_bike,pct_bus,pct_hov,pct_sov,pct_other,pct_walk,wAvgTrpLen,r_emp,r_ret,r_ind,r_off,r_svh,r_svl
WT,HB,K12,All,58452,0.069,0.002,0.002,0.046,0.001,77.9,4.5,17.6,,0.4,1.3,97.7,0.6,0,0,5.12,0.003,0.003,0,0,0.016,0.002
WT,HB,O,All,686549,0.15,0.011,0.097,0.008,0.037,9.7,29.2,26.4,34.7,0.8,1.1,22.4,72.1,0.1,3.5,8,0.002,0,0,0.002,0.001,0.001
WT,HB,W,All,482370,0.159,0.021,0.1,0.007,0.051,41.9,32.7,21.8,3.6,1,1.9,10.9,82.5,0.1,3.6,9.76,0.014,0.001,0,0.012,0.002,0.005
WT,NHB,All,All,1110049,0.127,0.005,0.08,0.013,0.033,15,55.1,9.8,20.1,0.3,1.8,21.2,64,0.3,12.4,5.76,0.001,0.002,0.001,0.006,0,0
NT,HB,K12,All,232641,0.023,0.018,0.001,0.031,0.066,66.6,7,24.6,1.7,0.5,27.5,59.1,10.4,0,2.5,5.19,0,0,0,0.001,0,0
NT,HB,O,Long,2502769,0.089,0.001,0.063,0.004,0.034,7.9,47.1,26.3,18.7,1,4.3,49.9,34.3,0.2,10.2,5.78,0.001,0,0,0.001,0,0
NT,HB,O,Short,721552,0.103,0.002,0.08,0.002,0.03,19.2,44.5,19.6,16.7,1.4,1,41.9,33.9,0.1,21.6,4.04,0.001,0,0.001,0,0,0
NT,NHB,All,All,1633422,0.069,0.001,0.056,0.004,0.019,8.5,63.7,14.6,13.3,0.7,4.5,52.4,32.8,1.5,8.1,4.73,0,0.001,0,0.001,0,0
