tour_type,homebased,purpose,duration,samples,wTrips,r_othpers,r_is_worker,r_othworkers,r_is_senior,r_othseniors,r_is_kid,r_othkids,r_hhincome,r_hhveh,pct_sov,pct_hov,pct_auto_pay,pct_bus,pct_school_bus,pct_walk,pct_bike,pct_other,pct_AM,pct_MD,pct_PM,pct_NT,wAvgTrpLen,r_emp,r_ret,r_ind,r_off,r_svh,r_svl
W,HB,O,All,2081,411487,-0.028,0.401,0.208,-0.156,-0.113,-0.201,0.081,0.073,-0.006,56.4,39.1,0.1,0.6,,3.2,0.4,0.1,22,11.4,27.7,38.9,5.45,0.222,0.419,0.088,0.032,0.148,0.098
W,HB,W,All,3566,639632,-0.12,0.556,0.297,-0.21,-0.142,-0.276,-0.048,0.045,0.035,86.2,7.9,0.5,2.1,,1.9,1.2,0.1,28.8,16.9,27.1,27.2,10.72,0.586,0.149,0.181,0.454,0.16,0.397
W,NH,O,All,832,273339,-0.041,0.213,0.103,-0.078,-0.065,-0.106,0.021,0.014,-0.021,52.2,35.4,0.1,2,,9.9,0.1,0.3,12.8,27.2,33.8,26.2,4.61,0.205,0.422,0.062,0.015,0.101,0.078
W,NH,WR,All,2529,753121,-0.075,0.394,0.184,-0.144,-0.106,-0.197,0.022,0.073,-0.007,69.3,13.9,0.8,1.5,0,13.7,0.3,0.5,15.8,46.5,28.5,9.2,6.31,0.618,0.372,0.142,0.384,0.291,0.419
N,HB,K12,All,1689,624708,0.34,-0.203,0.141,-0.165,-0.112,0.404,0.294,0.119,0.073,17.3,57.7,0.1,0.7,21,2.7,0.4,0.1,39.5,17.5,28.5,14.5,4.92,-0.052,-0.108,-0.043,0.066,-0.08,-0.092
N,HB,OD,Long,3900,981669,-0.006,-0.126,-0.074,0.011,-0.001,0.019,-0.003,-0.011,-0.027,38.9,49.3,0.4,1.5,0.5,7.8,1.1,0.6,10.5,27.1,23.6,38.7,6.66,0.212,0.105,0.035,0.108,0.367,0.136
N,HB,OD,Short,2592,818413,-0.016,-0.037,-0.065,0.041,0.024,-0.062,0.027,0.023,-0.021,23.3,31.9,0.1,0.8,0.2,41.2,2.3,0.3,15.1,25.1,30.3,29.5,3.1,0.058,0.05,0.021,0.03,0.166,0.006
N,HB,OME,All,4257,1254352,-0.136,-0.133,-0.241,0.195,0.143,-0.158,-0.095,-0.031,-0.019,43.3,49.3,0.6,0.8,,4.7,0.4,0.8,5,44.9,23.8,26.4,5.06,0.339,0.693,-0.008,0.026,0.094,0.168
N,NH,O,All,2019,635173,0.042,-0.079,-0.021,-0.017,-0.018,0.066,0.056,0.004,-0.019,20.2,48.7,1,2.9,7.5,13.4,1.1,5.2,16,37.7,29.9,16.4,4.99,0.241,0.063,0.084,0.135,0.3,0.176
N,NH,OME,All,3194,1128123,-0.087,-0.134,-0.198,0.145,0.084,-0.108,-0.035,-0.062,-0.042,41.1,51.3,0.5,0.7,,5.8,0.4,0.2,4.9,54.9,22.3,17.9,4.58,0.293,0.68,0.035,0.016,0.101,0.108
