TAZ,MPO,COUNTY,D_Minority,C_Race,C_Hispanic,ZeroCar,LowIncome,Senior,LEP,AllZones
117,DCHC,Durham,0,0,0,0,1,0,1,1
118,DCHC,Durham,0,0,0,0,1,0,1,1
119,DCHC,Durham,0,0,0,0,0,0,0,1
120,DCHC,Durham,0,0,0,1,0,0,0,1
121,DCHC,Durham,0,0,0,0,0,0,1,1
122,DCHC,Durham,0,0,0,0,0,0,1,1
123,DCHC,Durham,0,0,0,0,0,0,0,1
124,DCHC,Durham,0,0,0,0,0,0,0,1
125,DCHC,Durham,0,0,0,0,0,0,0,1
126,DCHC,Durham,0,0,0,1,1,0,0,1
127,DCHC,Durham,0,0,0,1,1,0,0,1
128,DCHC,Durham,0,0,0,0,0,0,0,1
129,DCHC,Durham,0,0,0,0,0,0,0,1
130,DCHC,Durham,0,0,0,0,0,0,0,1
131,DCHC,Durham,0,0,0,0,0,0,0,1
132,DCHC,Durham,0,0,0,0,0,0,0,1
133,DCHC,Durham,0,0,0,0,0,0,0,1
134,DCHC,Durham,0,0,0,0,0,0,0,1
135,DCHC,Durham,0,0,0,0,0,0,0,1
136,DCHC,Durham,0,0,0,0,0,0,0,1
137,DCHC,Durham,0,0,0,0,0,0,0,1
138,DCHC,Durham,0,0,0,0,0,0,0,1
139,DCHC,Durham,0,0,0,0,0,0,0,1
140,DCHC,Durham,0,0,0,0,0,0,0,1
141,DCHC,Durham,0,0,0,1,1,0,0,1
142,DCHC,Durham,0,0,0,1,1,0,0,1
143,DCHC,Durham,0,0,0,1,1,0,0,1
144,DCHC,Durham,1,0,0,0,1,0,1,1
145,DCHC,Durham,0,0,0,0,0,0,0,1
146,DCHC,Durham,0,0,0,0,0,0,0,1
147,DCHC,Durham,0,0,0,0,0,0,0,1
148,DCHC,Durham,0,0,0,0,0,0,0,1
149,DCHC,Durham,0,0,0,0,0,0,0,1
150,DCHC,Durham,0,0,0,1,1,0,0,1
151,DCHC,Durham,0,0,0,0,0,0,0,1
152,DCHC,Durham,0,0,0,1,1,0,0,1
153,DCHC,Durham,0,0,0,0,0,0,0,1
154,DCHC,Durham,0,0,0,1,1,0,0,1
155,DCHC,Durham,0,0,0,1,1,0,0,1
156,DCHC,Durham,1,0,0,1,1,0,1,1
157,DCHC,Durham,0,0,0,1,1,0,0,1
158,DCHC,Durham,0,0,0,1,1,0,0,1
159,DCHC,Durham,0,0,0,1,0,0,0,1
160,DCHC,Durham,0,0,0,1,0,0,0,1
161,DCHC,Durham,0,0,0,1,0,0,0,1
162,DCHC,Durham,0,0,0,1,0,0,0,1
163,DCHC,Durham,0,0,0,1,1,0,0,1
164,DCHC,Durham,1,0,0,1,1,0,1,1
165,DCHC,Durham,0,0,0,0,0,0,0,1
166,DCHC,Durham,0,0,0,0,0,0,0,1
167,DCHC,Durham,0,0,0,1,0,1,0,1
168,DCHC,Durham,0,0,0,1,0,1,0,1
169,DCHC,Durham,1,0,0,0,1,0,1,1
170,DCHC,Durham,0,0,0,1,0,1,0,1
171,DCHC,Durham,0,0,0,1,1,0,0,1
172,DCHC,Durham,1,0,0,0,1,0,1,1
173,DCHC,Durham,0,0,0,1,1,0,0,1
174,DCHC,Durham,1,0,0,0,1,0,1,1
175,DCHC,Durham,1,0,0,0,1,0,1,1
176,DCHC,Durham,1,0,0,0,1,0,1,1
177,DCHC,Durham,0,0,0,1,1,0,0,1
178,DCHC,Durham,0,0,0,1,1,0,0,1
