ProjID,AMHeadway,MDHeadway,PMHeadway,NTHeadway
32,30,40,30,40
38,,,,
46,10,20,10,20
48,,,,
49,,,,
51,,,,
53,20,40,20,40
118,,,,
119,,,,
120,,,,
123,,,,
124,,,,
126,,,,
135,,,,
136,,,,
143,,,,
148,,,,
201,,,,
202,20,30,20,60
203,,,,
207,,,,
210,,,,
211,5,10,5,10
215,,,,
218,,,,
224,,,,
248,,,,
300,,,,
333,,,,
2801,,,,
2802,,,,
2804,,,,
2805,,,,
2806,,,,
2808,,,,
2809,,,,
2810,,,,
2812,15,20,15,30
2815,,,,
2817,,,,
2821,20,60,20,60
2822,,,,
2824,30,-1,30,-1
2829,,,,
2832,15,20,15,30
2833,,,,
2834,,,,
2903,,,,
2904,,,,
2905,,,,
2906,25,50,25,50
2908,,,,
2909,,,,
2910,,,,
2914,,,,
2915,,,,
2916,,,,
2917,,,,
2918,,,,
2919,,,,
2920,,,,
2921,5,10,5,10
2922,,,,
2924,,,,
2925,20,40,20,40
2926,,,,
2927,30,60,30,60
2928,30,50,30,60
2929,90,390,90,750
2931,15,20,15,30
2932,15,25,15,25
2933,,,,
2935,30,60,30,60
1,60,60,60,60
3,,,,
5,30,-1,30,-1
6,,,,
7,,,,
16,15,15,15,30
55,15,30,15,30
56,15,15,15,15
58,15,15,15,15
59,15,30,15,30
60,,,,
61,15,15,15,30
64,15,60,15,60
65,15,60,15,60
66,,,,
67,60,60,60,60
68,7.5,7.5,7.5,7.5
72,15,15,15,15
74,10,10,10,20
77,,,,
78,15,15,15,15
81,,,,
83,7.5,7.5,7.5,7.5
84,,,,
85,15,-1,15,-1
129,,,,
130,15,15,15,15
152,,,,
153,15,15,15,15
155,15,30,15,30
157,15,15,15,15
158,15,30,15,30
160,15,30,15,30
161,15,30,15,30
168,10,15,10,15
169,10,15,10,15
170,10,15,10,15
172,,,,
173,15,60,15,60
174,,,,
175,15,60,15,60
176,15,30,15,30
177,7,7,7,7
178,15,15,15,15
179,15,60,15,60
180,30,60,30,60
181,15,30,15,30
182,15,30,15,30
183,15,30,15,30
184,15,30,15,30
185,15,30,15,30
186,,,,
188,15,30,15,30
189,,,,
190,15,60,15,60
191,15,30,15,30
192,15,60,15,60
194,15,15,15,15
195,,,,
396,15,60,15,60
400,60,-1,60,-1
404,,,,
405,,,,
407,15,60,15,60
409,15,30,15,30
410,15,30,15,30
413,15,60,15,60
415,15,15,15,30
416,15,30,15,30
417,15,15,15,15
419,15,30,15,30
421,15,60,15,60
422,,,,
423,60,60,60,60
424,15,30,15,30
425,15,15,15,15
426,,,,
427,13,13,13,13
428,11,11,11,11
429,,,,
430,11,7,9,22
431,12,12,12,24
432,16,16,16,32
433,15,15,15,30
434,15,15,15,30
435,13,13,13,40
436,16,16,16,32
437,10,15,10,15
438,,,,
440,15,15,15,15
441,15,30,15,30
442,7.5,7.5,7.5,7.5
443,7.5,7.5,7.5,7.5
445,15,15,15,15
446,15,30,15,30
447,15,30,15,30
448,15,15,15,15
449,15,15,15,15
450,15,15,15,15
451,15,15,15,15
453,10,15,10,15
454,90,390,90,750
455,,,,
458,-1,390,-1,-1
465,60,390,60,750
467,15,15,15,30
468,15,30,15,30
469,15,30,15,30
470,15,30,15,30
471,15,30,15,30
472,15,30,15,30
473,,,,
474,15,30,15,30
475,15,30,15,30
476,15,30,30,30
477,15,60,60,60
479,10,15,10,15
481,10,15,10,15
487,45,195,45,375
488,45,195,45,375
489,10,15,10,15
490,30,30,30,60
491,30,30,30,30
493,45,195,45,375
495,30,30,30,30
