purpose,p_field,a_field,constraint,imp_core,a,b,c
CV,CV_AM,CVa_AM,Production,CongTime,5,1,0.1
SUT,SUT_AM,SUTa_AM,Production,CongTime,5,0.75,0.1
MUT,MUT_AM,MUTa_AM,Production,CongTime,5,0.6,0.1
