to_field,from_field,factor,Description
CV_AM,CV,0.091,
CV_MD,CV,0.452,
CV_PM,CV,0.125,
CV_NT,CV,0.331,
CVa_AM,CVa,0.091,
CVa_MD,CVa,0.452,
CVa_PM,CVa,0.125,
CVa_NT,CVa,0.331,
MUT_AM,MUT,0.097,
MUT_MD,MUT,0.393,
MUT_PM,MUT,0.133,
MUT_NT,MUT,0.378,
MUTa_AM,MUTa,0.097,
MUTa_MD,MUTa,0.393,
MUTa_PM,MUTa,0.133,
MUTa_NT,MUTa,0.378,
SUT_AM,SUT,0.106,
SUT_MD,SUT,0.444,
SUT_PM,SUT,0.145,
SUT_NT,SUT,0.306,
SUTa_AM,SUTa,0.106,
SUTa_MD,SUTa,0.444,
SUTa_PM,SUTa,0.145,
SUTa_NT,SUTa,0.306,
