term,estimated_as,estimate,std.error,statistic,p.value
W_HB_EK12_All_hov2,W_HB_EK12_All_hov,0.7301285554744691,0.008746430650858556,83.47731601836907,0
W_HB_EK12_All_hov3,W_HB_EK12_All_hov,0.7301285554744691,0.008746430650858556,83.47731601836907,0
W_HB_O_All_hov2,W_HB_O_All_hov,0.05809866379647076,0.00861005580607819,6.747768551680761,0
W_HB_O_All_hov3,W_HB_O_All_hov,0.05809866379647076,0.00861005580607819,6.747768551680761,0
W_HB_O_All_sov,W_HB_O_All_sov,0.010090447838794465,0.005609417972400931,1.7988404302265915,0.07211
W_HB_W_All_hov2,W_HB_W_All_auto,0.008067549563733721,0.003386751183798387,2.3820910146359253,0.01726
W_HB_W_All_hov3,W_HB_W_All_auto,0.008067549563733721,0.003386751183798387,2.3820910146359253,0.01726
W_HB_W_All_sov,W_HB_W_All_auto,0.008067549563733721,0.003386751183798387,2.3820910146359253,0.01726
r_sq,NA,0.0699090799835383,NA,NA,NA
