term,estimated_as,estimate,std.error,statistic,p.value
W_HB_O_All_auto_pay,W_HB_O_All_auto_pay,0.42808,0.054380609,7.871863176,0
W_HB_O_All_sov,W_HB_O_All_sov,0.00306,9.50E-04,3.224283198,0.00127
r_sq,NA,0.13796,NA,NA,NA
