term,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_hov2,N_HB_K12_All_hov,0.00502,0.001389124,3.616517369,3.00E-04
N_HB_K12_All_hov3,N_HB_K12_All_hov,0.00502,0.001389124,3.616517369,3.00E-04
N_HB_K12_All_sov,N_HB_K12_All_sov,0.02772,0.002083162,13.30514313,0
N_HB_OD_Long_sov,N_HB_OD_All_sov,0.0032,9.27E-04,3.452803636,5.60E-04
N_HB_OD_Short_sov,N_HB_OD_All_sov,0.0032,9.27E-04,3.452803636,5.60E-04
alpha,NA,0.4339,0.107866241,-10.16738292,0
gamma,NA,0.4007,0.051124945,7.837707342,0
r_sq,NA,0.08012,NA,NA,NA
