term,estimated_as,estimate,std.error,statistic,p.value
W_HB_O_All_sov,W_HB_O_All_auto,0.22505,0.012718713,17.69428025,0
W_HB_O_All_walkbike,W_HB_O_All_walkbike,0.85377,0.04583093,18.62864841,0
W_HB_W_All_sov,W_HB_W_All_sov,0.03335,0.007980168,4.179707387,3.00E-05
r_sq,NA,0.38872,NA,NA,NA
