term,estimated_as,estimate,std.error,statistic,p.value
N_HB_K12_All_hov2,N_HB_K12_All_hov,0.04895680044945684,0.002376077000580958,20.604046265119674,0
N_HB_K12_All_hov3,N_HB_K12_All_hov,0.04895680044945684,0.002376077000580958,20.604046265119674,0
N_HB_OD_Long_hov2,N_HB_OD_Long_hov2,0.009913005061771465,0.002894783289105871,3.4244377114783453,6.2e-4
N_HB_OD_Long_hov3,N_HB_OD_Long_hov3,0.008326388260751721,0.0029913522492373314,2.7834863857556726,0.00539
N_HB_OD_Short_hov2,N_HB_OD_Short_hov2,0.02815693880662795,0.0037023551171261005,7.605142649980148,0
N_HB_OD_Short_hov3,N_HB_OD_Short_hov3,0.029394257117355056,0.003781315043820895,7.773554114563573,0
alpha,NA,0.145461872629829,0.20736607760293851,-12.726672106913542,0
gamma,NA,0.9240227428065277,0.09827263429575983,9.402645501753854,0
r_sq,NA,0.14163054291976276,NA,NA,NA
