term,estimated_as,estimate,std.error,statistic,p.value
N_HB_OD_Short_sov,N_HB_OD_Short_sov,0,2.80E-04,0,1
N_HB_OD_Long_auto_pay,N_HB_OD_Long_auto_pay,0.21158,0.002698872,78.39581146,0
N_HB_OD_Short_auto_pay,N_HB_OD_Short_auto_pay,-0.00126,0.005260157,-0.239655581,0.8106
r_sq,NA,0.01396,NA,NA,NA
