Expression,Coefficient,Description
se.ParkSize.D,0.5,Size term
se.ParkCost.D,-0.41,Parking Cost
t_skim.[Initial Wait Time]*2,-0.034167443,Shuttle Headway
t_skim.[In-Vehicle Time],-0.067594595,IVTT
t_skim.[Access Walk Time],-0.1025,Access Walk Time
t_skim.[Egress Walk Time],-0.1025,Egress Walk Time
se.SParking.D,2.5,Special Satellite Parking
