avg_vehicles,veh0,veh1,veh2,veh3
2.5,0.0114,0.1504,0.3665,0.4717
2.51,0.0113,0.1485,0.3638,0.4764
2.52,0.0112,0.1467,0.3611,0.481
2.53,0.0111,0.145,0.3584,0.4855
2.54,0.011,0.1433,0.3557,0.49
2.55,0.011,0.1416,0.353,0.4944
2.56,0.0109,0.1399,0.3502,0.499
2.57,0.0108,0.1383,0.3475,0.5034
2.58,0.0107,0.1368,0.3447,0.5078
2.59,0.0107,0.1352,0.3419,0.5122
2.6,0.0106,0.1337,0.3391,0.5166
2.61,0.0105,0.1322,0.3363,0.521
2.62,0.0105,0.1308,0.3335,0.5252
2.63,0.0104,0.1294,0.3307,0.5295
2.64,0.0104,0.128,0.3279,0.5337
2.65,0.0103,0.1267,0.3251,0.5379
2.66,0.0102,0.1254,0.3223,0.5421
2.67,0.0102,0.1242,0.3195,0.5461
2.68,0.0101,0.123,0.3167,0.5502
2.69,0.0101,0.1218,0.3139,0.5542
2.7,0.01,0.1206,0.3111,0.5583
2.71,0.01,0.1195,0.3083,0.5622
2.72,0.0099,0.1185,0.3055,0.5661
2.73,0.0098,0.1174,0.3028,0.57
2.74,0.0098,0.1164,0.3,0.5738
2.75,0.0097,0.1155,0.2973,0.5775
2.76,0.0097,0.1146,0.2946,0.5811
2.77,0.0096,0.1137,0.2919,0.5848
2.78,0.0095,0.1129,0.2893,0.5883
2.79,0.0094,0.112,0.2866,0.592
2.8,0.0094,0.1113,0.284,0.5953
2.81,0.0093,0.1106,0.2814,0.5987
2.82,0.0092,0.1099,0.2789,0.602
2.83,0.0091,0.1092,0.2764,0.6053
2.84,0.009,0.1086,0.2739,0.6085
2.85,0.0089,0.108,0.2714,0.6117
2.86,0.0088,0.1075,0.269,0.6147
2.87,0.0087,0.107,0.2667,0.6176
2.88,0.0086,0.1065,0.2643,0.6206
2.89,0.0085,0.1061,0.2621,0.6233
2.9,0.0083,0.1057,0.2598,0.6262
2.91,0.0082,0.1054,0.2576,0.6288
2.92,0.0081,0.1051,0.2555,0.6313
2.93,0.0079,0.1048,0.2534,0.6339
2.94,0.0078,0.1046,0.2514,0.6362
2.95,0.0076,0.1044,0.2494,0.6386
2.96,0.0074,0.1042,0.2475,0.6409
2.97,0.0073,0.1041,0.2457,0.6429
2.98,0.0071,0.104,0.2439,0.645
2.99,0.0069,0.104,0.2422,0.6469
3,0.0067,0.104,0.2405,0.6488
