inc_ratio,incL,incML,incMH,incH
1.56,0.0787,0.2643,0.4038,0.2532
1.57,0.0785,0.2613,0.4039,0.2563
1.58,0.0784,0.2583,0.4039,0.2594
1.59,0.0782,0.2553,0.4039,0.2626
1.6,0.0781,0.2524,0.4037,0.2658
1.61,0.0779,0.2495,0.4037,0.2689
1.62,0.0778,0.2467,0.4034,0.2721
1.63,0.0777,0.2439,0.4031,0.2753
1.64,0.0775,0.2411,0.4029,0.2785
1.65,0.0774,0.2384,0.4024,0.2818
1.66,0.0773,0.2357,0.402,0.285
1.67,0.0772,0.2331,0.4014,0.2883
1.68,0.077,0.2305,0.401,0.2915
1.69,0.0769,0.2279,0.4004,0.2948
1.7,0.0768,0.2254,0.3997,0.2981
1.71,0.0766,0.2229,0.3991,0.3014
1.72,0.0765,0.2205,0.3983,0.3047
1.73,0.0764,0.2182,0.3974,0.308
1.74,0.0762,0.2158,0.3967,0.3113
1.75,0.0761,0.2135,0.3957,0.3147
1.76,0.0759,0.2113,0.3948,0.318
1.77,0.0758,0.2091,0.3937,0.3214
1.78,0.0756,0.207,0.3927,0.3247
1.79,0.0754,0.2049,0.3916,0.3281
1.8,0.0753,0.2028,0.3904,0.3315
1.81,0.0751,0.2009,0.3891,0.3349
1.82,0.0749,0.1989,0.3879,0.3383
1.83,0.0747,0.197,0.3866,0.3417
1.84,0.0745,0.1952,0.3852,0.3451
1.85,0.0743,0.1934,0.3838,0.3485
1.86,0.074,0.1916,0.3825,0.3519
1.87,0.0738,0.1899,0.381,0.3553
1.88,0.0736,0.1883,0.3794,0.3587
1.89,0.0733,0.1867,0.3778,0.3622
1.9,0.073,0.1851,0.3763,0.3656
1.91,0.0728,0.1836,0.3746,0.369
1.92,0.0725,0.1822,0.3728,0.3725
1.93,0.0722,0.1808,0.3711,0.3759
1.94,0.0719,0.1794,0.3694,0.3793
1.95,0.0716,0.1781,0.3675,0.3828
1.96,0.0712,0.1768,0.3657,0.3863
1.97,0.0709,0.1756,0.3638,0.3897
1.98,0.0705,0.1745,0.3618,0.3932
1.99,0.0701,0.1734,0.3599,0.3966
2,0.0698,0.1723,0.3579,0.4
2.01,0.0694,0.1713,0.3558,0.4035
2.02,0.069,0.1703,0.3538,0.4069
2.03,0.0685,0.1694,0.3517,0.4104
2.04,0.0681,0.1686,0.3495,0.4138
2.05,0.0677,0.1677,0.3474,0.4172
2.06,0.0672,0.167,0.3452,0.4206
2.07,0.0667,0.1662,0.343,0.4241
2.08,0.0662,0.1655,0.3407,0.4276
2.09,0.0657,0.1649,0.3384,0.431
2.1,0.0652,0.1643,0.3361,0.4344
2.11,0.0647,0.1638,0.3338,0.4377
2.12,0.0642,0.1632,0.3315,0.4411
2.13,0.0636,0.1628,0.3291,0.4445
2.14,0.063,0.1624,0.3267,0.4479
2.15,0.0625,0.162,0.3243,0.4512
2.16,0.0619,0.1616,0.3218,0.4547
2.17,0.0613,0.1613,0.3194,0.458
2.18,0.0607,0.1611,0.3169,0.4613
2.19,0.06,0.1608,0.3144,0.4648
2.2,0.0594,0.1606,0.3119,0.4681
2.21,0.0587,0.1605,0.3094,0.4714
2.22,0.0581,0.1604,0.3069,0.4746
2.23,0.0574,0.1603,0.3044,0.4779
2.24,0.0567,0.1602,0.3018,0.4813
2.25,0.056,0.1602,0.2993,0.4845
2.26,0.0553,0.1602,0.2967,0.4878
2.27,0.0546,0.1603,0.2942,0.4909
2.28,0.0538,0.1604,0.2916,0.4942
2.29,0.0531,0.1605,0.289,0.4974
2.3,0.0524,0.1606,0.2865,0.5005
2.31,0.0516,0.1608,0.2839,0.5037
2.32,0.0508,0.161,0.2813,0.5069
2.33,0.0501,0.1612,0.2787,0.51
2.34,0.0493,0.1614,0.2762,0.5131
2.35,0.0485,0.1617,0.2736,0.5162
2.36,0.0477,0.1619,0.2711,0.5193
2.37,0.0469,0.1622,0.2685,0.5224
2.38,0.0461,0.1626,0.266,0.5253
2.39,0.0453,0.1629,0.2634,0.5284
2.4,0.0444,0.1632,0.2609,0.5315
2.41,0.0436,0.1636,0.2584,0.5344
2.42,0.0428,0.164,0.256,0.5372
2.43,0.0419,0.1644,0.2535,0.5402
2.44,0.0411,0.1648,0.251,0.5431
2.45,0.0403,0.1652,0.2486,0.5459
2.46,0.0394,0.1656,0.2462,0.5488
2.47,0.0386,0.166,0.2438,0.5516
2.48,0.0377,0.1664,0.2415,0.5544
2.49,0.0369,0.1668,0.2391,0.5572
2.5,0.036,0.1673,0.2368,0.5599
