Expression,Segment,Coefficient,Description
se.n_hbods_size.D,,0.3791,Size term
nz(mc_logsums.auto),,1.52,
nz(mc_logsums.transit),,0.0812,
sov_skim.IZ,,2.006,
sov_skim.CongTime,,-0.2413,
"max(0, sov_skim.CongTime - 30)",,0.1804,
se.access_hospital_sov.D,,0.0822,
