Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,RTP,1,-1.9,0,0.461,0
2,Raleigh,0.84,0,0,-0.208,0
3,Cary,0.889,0,0,0.113,0
4,Garner,0.529,0,2.28,-0.522,0
5,Durham,0.843,0,0,-0.219,0
6,ChapelHill,1,0,0,0.117,0
7,SouthernDurham,0.829,0,0.817,-0.392,0
81,Northwest,0.96,0,0,-1.277,0
82,Northeast,0.635,0,1.55,0.653,0
83,Southeast,0.734,0,0,0.275,0
84,South,0.638,0,0,0.425,0
85,Southwest,0.946,0,0,0.294,0.168
