Cluster,ClusterName,Theta,ASC,IC,Calibrated_DeltaASC,Calibrated_DeltaIC
1,RTP,1,0,0,0.266,0
2,Raleigh,0.846,0.98,0,0,0
3,Cary,0.845,0,0,0.111,0
4,Garner,1,0,0,-0.45,0.266
5,Durham,1,-0.811,0,0.459,0
6,ChapelHill,1,0,0,0,0
7,SouthernDurham,0.828,0,0,0.729,0
81,Northwest,1,0,0,-0.731,0
82,Northeast,1,-0.761,0,0.522,0
83,Southeast,1,0,0,-0.6,0
84,South,1,0,0,-1.562,-0.347
85,Southwest,1,0,0,-0.783,0
