"TAZ","access_nearby_sov","access_transit","access_walk","N_sov","N_hov2","N_hov3","N_walkbike","N_t","N_auto_pay","W_sov","W_hov2","W_hov3","W_walkbike","W_t","W_auto_pay"
1744,8.20759,0.382666,0.964377,22.7978,18.9466,11.6881,19.8101,0.433719,0.611726,12.5293,4.70223,3.24622,6.6038,1.99394,0.0651515
1745,8.21039,0.00,0.739172,48.7929,51.9405,69.0088,19.9156,0.00,1.71071,182.436,44.885,20.7164,7.88901,0.00,0.112576
1746,8.01635,1.48918,1.47583,46.1988,27.6481,17.99,46.4277,0.48962,0.590597,17.1914,5.82488,4.42976,6.14885,1.77699,0.0920659
1747,8.32328,1.3555,1.58574,95.59,69.1316,75.9138,72.7797,0.547648,1.59232,175.571,43.8726,21.9018,8.82191,1.75128,0.171347
1748,8.50705,2.11003,1.70628,118.866,68.156,45.5097,125.577,1.44096,1.2359,56.7839,19.5489,14.6404,21.7764,6.67772,0.309914
1749,8.7565,2.32243,1.64642,232.84,144.07,92.1131,174.538,3.28427,3.05653,203.338,58.8694,51.4306,27.7453,5.94537,1.11156
1750,9.03506,2.7204,0.744318,59.9871,41.9508,27.3806,41.0647,1.0578,0.918883,43.6464,13.6826,11.0432,10.9813,3.95534,0.253726
1751,9.45982,3.89381,1.02295,138.173,110.278,63.9422,78.7917,19.4248,2.47372,313.655,92.2509,78.3721,53.0125,29.0091,1.85695
1752,8.76242,3.49035,0.613427,80.4293,53.1828,33.9464,81.9098,3.3582,1.17606,82.3671,28.8075,20.81,35.214,14.2543,0.472705
1753,8.52332,2.34588,0.390473,11.8365,10.6502,6.59001,5.54577,0.248339,0.341263,7.25457,2.31355,1.92738,1.70244,0.494184,0.0405068
1754,8.68938,2.82362,0.433281,51.0279,56.4914,71.6657,17.832,1.12134,1.82642,194.792,48.387,23.7868,8.05786,2.11549,0.169538
1755,9.0309,2.19666,0.458058,152.573,141.029,117.823,69.8277,4.93412,2.97006,487.466,127.47,92.7056,37.5882,11.5864,1.91949
1756,8.79325,1.91062,1.54733,132.554,100.801,61.4846,96.6573,2.88427,2.78407,154.653,46.8437,39.1906,30.8252,8.72879,0.894256
1757,8.93898,1.68081,1.03332,54.2388,42.8643,27.4436,21.6608,0.460472,1.44369,33.1981,9.61047,8.41669,4.4584,0.944051,0.193974
1758,8.50604,1.36215,0.513069,84.2717,61.1303,38.7116,54.7671,0.941509,1.64837,61.4716,18.3804,15.3113,11.9932,3.06263,0.349658
1759,8.41796,1.16741,1.20517,28.5613,25.3703,15.7449,16.437,0.462726,0.879601,19.3414,6.24867,5.12397,4.97438,1.19879,0.108401
1760,8.12548,1.1099,1.09168,72.3135,74.5733,100.842,30.6949,0.852252,2.4833,185.931,46.0523,22.9752,7.46567,1.39811,0.182327
1761,8.06147,0.0833088,0.382675,72.8048,49.1534,30.7476,52.0265,0.605672,1.19942,47.7353,14.9155,12.5181,10.2763,1.9091,0.258217
1762,8.39569,0.558218,1.03568,101.978,54.6345,36.894,95.0049,0.479703,0.772465,32.9394,9.90587,8.15536,6.86175,1.39077,0.175493
1763,8.21026,0.00,0.330775,127.083,122.465,127.197,113.743,0.00,2.88333,273.796,70.1565,37.2095,21.5183,0.00,0.450918
1764,8.24521,0.00,0.00,288.929,167.862,105.913,0.00,0.00,1.84512,202.618,61.1977,52.9273,34.1543,0.00,1.04754
1765,8.41453,0.411593,0.00,79.7596,62.1082,38.9746,0.00,1.30241,1.71685,69.1563,24.2323,20.7574,18.6316,3.36772,0.371159
1766,8.00403,0.00,0.00,66.7483,59.9553,69.4073,0.00,0.00,2.00287,183.342,46.4624,22.1816,14.0634,0.00,0.185094
1767,7.90663,0.00,0.024898,5.54953,4.93781,3.0042,3.13779,0.00,0.176924,3.27415,1.15482,0.865692,1.31024,0.00,0.0185402
1768,8.36958,0.750297,0.00,114.214,84.6014,99.2924,0.00,0.36723,2.0369,229.51,56.825,27.9071,9.35476,1.34751,0.194341
1769,8.59288,1.63175,0.157159,110.816,98.0853,131.793,55.5489,0.508596,2.74961,265.998,65.8265,32.3589,10.0152,1.38541,0.214263
1770,8.43504,1.08461,0.00,17.6917,18.0765,11.0497,0.00,0.52185,0.564458,10.8146,3.5712,2.82364,3.29781,1.02016,0.0629158
1771,8.05596,0.667718,0.00,23.3366,21.9876,13.5564,0.00,0.577278,0.824657,13.4223,4.1227,3.46325,2.73532,0.838147,0.0802915
1772,8.31899,0.680966,0.628377,96.6768,86.698,72.7065,92.6338,4.50563,1.9267,206.501,56.1928,29.3029,32.5476,11.7684,0.420049
1773,8.09443,0.00,0.00,90.8783,49.6789,33.7274,0.00,0.00,0.821706,26.3586,8.45292,6.97943,6.49328,0.00,0.131036
1774,8.52944,1.36711,1.11704,76.6233,93.3882,139.336,48.5157,2.78506,2.66873,281.557,72.1237,33.602,22.9289,7.86068,0.239045
1775,8.21409,0.454358,0.63242,132.146,97.9688,103.166,126.635,1.57213,2.40978,208.907,56.6635,28.3146,29.9994,8.82584,0.278463
1776,8.66945,1.62835,1.23642,225.461,136.011,87.7006,193.859,2.12889,2.73459,170.126,53.4378,45.135,36.1912,6.95433,0.905305
1777,7.53106,0.00,0.00,34.6967,68.105,41.5034,0.00,0.00,0.377376,9.93597,3.2899,2.84109,2.2327,0.00,0.0474558
1778,6.93283,0.00,0.00,47.9841,51.9966,31.6572,0.00,0.00,0.770951,35.7076,11.5002,10.1162,6.78749,0.00,0.16737
1779,7.61429,0.00,0.00,145.629,89.9855,53.0096,0.00,0.00,1.30579,153.749,45.2396,37.3502,29.6979,0.00,0.805059
1780,7.90312,0.00,0.94178,117.196,99.2327,116.139,136.336,0.00,2.59312,267.87,73.8192,35.4298,42.2575,0.00,0.292025
