"TAZ","access_nearby_sov","access_transit","access_walk","N_sov","N_hov2","N_hov3","N_walkbike","N_t","N_auto_pay","W_sov","W_hov2","W_hov3","W_walkbike","W_t","W_auto_pay"
2488,8.67701,3.08266,0.839526,28.7674,28.7114,16.3779,20.2184,1.13446,0.356085,11.7791,4.08921,3.09354,4.48783,2.18726,0.0685195
2489,8.74663,3.18099,0.770593,41.9641,36.0594,20.0087,24.5864,1.38832,0.461856,17.4075,6.10701,5.02339,5.40815,2.50206,0.0968927
2490,7.70133,0.00,0.00,131.346,103.515,65.2801,0.00,0.00,0.500212,60.3815,19.8208,17.3517,12.4517,0.00,0.259619
2491,8.05708,0.00,0.00,371.17,338.336,290.344,0.00,0.00,1.70245,379.559,103.176,65.7844,35.8394,0.00,0.734061
2492,7.98658,0.00,0.00,232.552,162.587,104.429,0.00,0.00,0.506508,94.1192,27.9946,23.9011,16.1071,0.00,0.426983
2493,7.62693,0.00,0.00,140.194,115.56,72.7964,0.00,0.00,0.570504,63.7594,19.6771,17.0816,11.3227,0.00,0.282966
2494,7.8169,0.00,0.00,206.735,145.086,94.0167,0.00,0.00,0.670323,93.3275,29.8717,25.8021,19.0128,0.00,0.412481
2495,7.64727,0.00,0.00,227.55,197.992,124.878,0.00,0.00,0.891145,161.977,52.7955,43.5939,41.544,0.00,0.715026
2496,7.5244,0.00,0.00,119.467,111.13,68.3979,0.00,0.00,0.661902,67.7539,21.6602,18.7916,13.4644,0.00,0.29494
2497,7.67483,0.00,0.00,167.17,149.348,92.9144,0.00,0.00,0.370392,72.7695,22.2014,19.0992,13.027,0.00,0.31897
2498,7.67113,0.00,0.00,83.5427,122.881,72.1512,0.00,0.00,0.72204,116.259,40.4376,35.5047,27.8023,0.00,0.478137
2499,7.93163,0.00,0.00,256.747,237.332,147.951,0.00,0.00,0.796168,120.418,38.6031,32.6082,27.1309,0.00,0.531412
2500,8.03079,0.00,0.00,284.794,194.022,125.744,0.00,0.00,0.467661,146.671,41.3421,35.8992,18.6708,0.00,0.671482
2501,8.01572,0.00,0.00,233.095,193.476,121.17,0.00,0.00,0.590756,91.5195,30.3649,26,21.4334,0.00,0.395346
2502,7.79993,0.00,0.00,97.6433,155.059,159.982,0.00,0.00,0.89214,245.259,62.5982,32.6355,13.5466,0.00,0.211592
2503,8.2038,0.00,0.00,204.229,174.436,108.578,0.00,0.00,0.483634,68.5366,22.5129,18.8442,17.0878,0.00,0.29998
2504,7.77937,0.00,0.00,125.794,96.3013,60.8655,0.00,0.00,0.299785,49.2026,15.0952,13.2486,8.07836,0.00,0.215105
2505,7.87453,0.00,0.00,79.6491,88.4356,53.4888,0.00,0.00,0.383485,36.1565,12.6449,10.7087,10.0984,0.00,0.153778
2506,7.37755,0.00,0.00,192.523,132.729,84.9038,0.00,0.00,0.481234,273.011,76.0139,66.2542,32.1727,0.00,1.22986
2507,8.08879,0.00,0.00,112.012,104.524,64.8118,0.00,0.00,0.605786,46.0084,14.9455,12.7856,10.205,0.00,0.203371
