"TAZ","Type","HH","HH_POP","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","Industry","Office","Service_RateLow","Service_RateHigh","Retail","PctHighEarn","StudGQ_NCSU","StudGQ_UNC","StudGQ_DUKE","StudGQ_NCCU","StudOff_NCSU","StudOff_UNC","StudOff_DUKE","StudOff_NCCU","BuildingS_NCSU","BuildingS_UNC","BuildingS_DUKE","BuildingS_NCCU","K12","CollegeOn","CollegeOff","Hospital","TraumaLevel","ParkDistrict","ParkCostW","ParkCostU","ParkCostO","EmpSpaces","StudSpaces","OtherSpaces","AWDT","PCTCV","PCTAUTOEE","PCTCVEE","TotalEmp","Density","AreaType","ATSmoothed","walkability_attr","gs_home_attr","gs_work_attr","gs_other_attr","gs_total_attr","GSIndex","ApproachDensity","walk_attr_dens","IndEmpDensity","ApproachDensity_z","IndEmpDensity_z","walk_attr_dens_z","GSIndex_z","Walkability","wHH","wK12","wStudGQ_NCSU","wStudGQ_UNC","wStudGQ_DUKE","wStudGQ_NCCU","wCollegeOn","wRetail","wTotalEmp","PctNearBusStop","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_employment_sov_attr","access_hospital_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_employment_sov","access_hospital_sov","access_transit_attr","access_transit"
2326,"Internal",482,855,65040,52,19.8000,18.0000,7,27,82,7,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,3,8164.11,"Urban",1,2413.80,3133.00,256.5,2227.50,5617.00,0.529543,0.00,39055.53,48.6717,-0.282051,-0.184262,0.158165,0.470089,0.12855,61.9611,0.00,0.00,0.00,0.00,0.00,0.00,6.1704,0.38565,0.999133,2413.80,561.6,2.37102,171,0.00,12.2091,9.37241,1.79034,11.7235,0.00,561.6,0.878337
2327,"Internal",15,58,85625,52,20.1000,6.8,0,128,0,0,0,44,0,0,0,0,4,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,5725.28,"Urban",1,1918.50,97.5,1698.00,553.3,2348.80,0.420168,0.00,45291.57,0.00,-0.282051,-0.252509,0.241116,-0.694168,0.114957,1.72436,115.417,0.00,0.00,0.00,0.00,0.00,0.00,0.229914,1,1918.50,71.5,0.657173,128,0.00,12.2186,9.08179,1.5781,11.7499,0.00,71.5,0.431695
2328,"Internal",302,844,120372,52,26.6000,11.0000,91,80,462,45,196,41,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,13,5311.60,"Suburban",1,7618.20,1963.00,1338.00,6488.20,9789.20,0.501814,15.0208,21005.98,195.271,-0.153332,0.0212949,-0.0819277,0.174926,0.120651,36.4365,2.17171,0.00,0.00,0.00,0.00,0.00,23.6475,1.56846,0.150229,7618.20,1648.50,1.55084,874,0.00,12.1973,9.30954,1.44331,11.6999,0.00,1648.50,0.723093
2329,"Internal",215,550,120372,52,26.6000,11.0000,0,6,9,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,2064.34,"Suburban",1,551.7,1397.50,28.5,538.8,1964.80,0.418687,14.1039,6927.86,0.00,-0.161189,-0.252509,-0.269193,-0.709937,0.105012,22.5776,0.00,0.00,0.00,0.00,0.00,0.00,0.420049,0.00,0.00,551.7,137.7,0.850682,19,0.00,11.8558,8.19886,0.691961,11.6043,0.00,137.7,0.00
2330,"Internal",451,1055,85625,52,20.1000,6.8,17,110,134,91,185,26,0,0,0,0,4,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,10,7795.04,"Suburban",1,6716.40,2931.50,1564.50,5437.90,9933.90,0.588456,15.1558,37639.12,64.4123,-0.152175,-0.162191,0.139324,1.0972,0.139642,62.9787,70.659,0.00,0.00,0.00,0.00,0.00,25.8338,1.39642,0.459853,6716.40,1317.50,2.91473,537,0.00,12.1728,9.26822,1.38483,11.6897,0.00,1317.50,0.919194
2331,"Internal",157,402,120372,52,26.6000,11.0000,0,3,7,0,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,2290.43,"Urban",1,514.8,1020.50,28.5,494.1,1543.10,0.459772,15.7071,8079.22,0.00,-0.14745,-0.252509,-0.253878,-0.272597,0.110872,17.407,0.00,0.00,0.00,0.00,0.00,0.00,0.997852,0.00,0.00,514.8,125.3,0.660758,19,0.00,12.1339,8.90423,1.05081,11.7191,0.00,125.3,0.00
2332,"Internal",419,994,85625,52,20.1000,6.8,0,36,31,0,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,7751.40,"Urban",1,1227.30,2723.50,112.5,1208.40,4044.40,0.456487,0.00,27645.62,0.00,-0.282051,-0.252509,0.00639203,-0.30757,0.114333,47.9054,0.00,0.00,0.00,0.00,0.00,0.00,0.914661,0.114333,0.186111,1227.30,297.5,1.80515,75,0.00,12.0948,8.81468,1.0869,11.6906,0.00,297.5,0.00
2333,"Internal",226,827,85625,52,20.1000,6.8,0,11,39,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,4692.68,"Urban",1,680.8,1469.00,75,634.4,2178.40,0.459258,0.00,11107.53,0.00,-0.282051,-0.252509,-0.213595,-0.278067,0.109593,24.7679,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.109593,0.729827,680.8,165.3,0.929863,50,0.00,12.1242,8.81237,1.42937,11.6986,0.00,165.3,0.942863
2334,"Internal",4,15,85625,52,20.1000,6.8,22,41,181,7,284,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,6,17218.46,"Urban",1,6560.20,26,802.5,5864.30,6692.80,0.217863,0.00,113696.73,373.734,-0.282051,0.271532,1.15103,-2.84763,0.109128,0.436511,0.00,0.00,0.00,0.00,0.00,0.00,30.9923,0.654767,1,6560.20,1423.50,0.241485,535,0.00,12.2212,9.47731,1.89536,11.7185,0.00,1423.50,0.861088
2335,"Internal",166,391,89750,52,19.3000,8.4,121,119,54,0,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,6,6413.46,"Urban",1,1880.10,1079.00,484.5,1705.00,3268.50,0.596933,19.3589,21091.55,780.81,-0.116157,0.842323,-0.0807893,1.18743,0.13558,22.5062,0.00,0.00,0.00,0.00,0.00,0.00,3.93181,0.813478,0.538097,1880.10,386.7,0.873508,323,0.00,12.0981,8.63969,1.71426,11.7204,0.00,386.7,1.71428
