"TAZ","Type","HH","HH_POP","Median_Inc","Pct_Worker","Pct_Child","Pct_Senior","Industry","Office","Service_RateLow","Service_RateHigh","Retail","PctHighEarn","StudGQ_NCSU","StudGQ_UNC","StudGQ_DUKE","StudGQ_NCCU","StudOff_NCSU","StudOff_UNC","StudOff_DUKE","StudOff_NCCU","BuildingS_NCSU","BuildingS_UNC","BuildingS_DUKE","BuildingS_NCCU","K12","CollegeOn","CollegeOff","Hospital","TraumaLevel","ParkDistrict","ParkCostW","ParkCostU","ParkCostO","EmpSpaces","StudSpaces","OtherSpaces","AWDT","PCTCV","PCTAUTOEE","PCTCVEE","TotalEmp","Density","AreaType","ATSmoothed","walkability_attr","gs_home_attr","gs_work_attr","gs_other_attr","gs_total_attr","GSIndex","ApproachDensity","walk_attr_dens","IndEmpDensity","ApproachDensity_z","IndEmpDensity_z","walk_attr_dens_z","GSIndex_z","Walkability","wHH","wK12","wStudGQ_NCSU","wStudGQ_UNC","wStudGQ_DUKE","wStudGQ_NCCU","wCollegeOn","wRetail","wTotalEmp","PctNearBusStop","access_general_sov_attr","access_nearby_sov_attr","access_walk_attr","access_employment_sov_attr","access_hospital_sov_attr","access_general_sov","access_nearby_sov","access_walk","access_employment_sov","access_hospital_sov","access_transit_attr","access_transit"
1,"Internal",352,834,76534,48,18.3000,11.3000,37,33,66,0,13,13,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,105.359,"Rural",,1491.50,2288.00,223.5,1353.80,3865.30,0.5236,0.284215,366.192,3.50531,-0.279615,-0.247594,-0.356475,0.40683,0.114899,40.4445,0.00,0.00,0.00,0.00,0.00,0.00,1.49369,0.229798,0.00,1491.50,343.5,1.52926,149,0.00,10.2487,6.02486,0.00,10.4808,0.00,343.5,0.00
2,"Internal",391,954,76534,48,18.3000,11.3000,8,119,10,0,0,45,0,0,0,0,0,19,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,199.035,"Rural",,2139.90,2541.50,1165.50,1283.80,4990.80,0.619973,0.987186,821.141,1.31625,-0.273591,-0.250663,-0.350424,1.43268,0.128973,50.4283,82.5425,0.00,0.00,0.00,0.00,0.00,0.00,0.257945,0.00,2139.90,271,2.31692,137,0.00,10.4226,6.32983,0.00,10.5846,0.00,271,0.00
3,"Internal",502,1235,108533,48,27.9000,13.8000,9,52,75,2,18,34,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,216.359,"Rural",,1904.60,3263.00,234,1805.80,5302.80,0.50345,0.00,751.754,1.27589,-0.282051,-0.25072,-0.351347,0.192334,0.112261,56.3549,0.00,0.00,0.00,0.00,0.00,0.00,2.02069,0.224522,0.00,1904.60,447.7,2.13041,156,0.00,10.4921,6.40952,0.00,10.6235,0.00,447.7,0.00
4,"Internal",616,1474,61929,50,19.9000,18.0000,17,37,60,0,22,39,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,696.607,"Rural",,2079.80,4004.00,204,1972.00,6180.00,0.47732,1.2095,2491.56,6.85382,-0.271686,-0.242898,-0.328204,-0.0858113,0.109506,67.4557,0.00,0.00,0.00,0.00,0.00,0.00,2.40913,0.219012,0.0382748,2079.80,497.2,2.54999,136,0.00,10.8825,7.08927,0.00,10.8548,0.00,497.2,0.00
5,"Internal",177,354,105691,50,26.3000,13.9000,0,8,89,19,11,39,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,604.199,"Rural",,1170.80,1150.50,190.5,1001.10,2342.10,0.569379,3.06677,2394.23,0.00,-0.255771,-0.252509,-0.329499,0.894129,0.122376,21.6605,0.00,0.00,0.00,0.00,0.00,0.00,1.34613,0.244752,0.00,1170.80,267.2,0.822978,127,0.00,11.0084,7.41351,0.00,10.9166,0.00,267.2,0.00
6,"Internal",1253,2850,105691,50,26.3000,13.9000,0,192,35,0,0,43,0,0,0,0,0,243,0,0,0,0,0,0,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,3,817.698,"Rural",,4841.70,8144.50,2029.50,3311.40,13485.40,0.552299,10.9903,3368.36,0.00,-0.187871,-0.252509,-0.316541,0.712317,0.121425,152.145,136.724,0.00,0.00,0.00,0.00,0.00,0.00,0.364274,0.00,4841.70,764.5,6.41379,227,0.00,10.7451,6.86689,0.00,10.7696,0.00,764.5,0.00
7,"Internal",178,362,105691,50,26.3000,13.9000,4,19,24,0,13,39,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,367.286,"Rural",,784.7,1157.00,90,744.1,1991.10,0.520635,0.00,1542.87,3.09953,-0.282051,-0.248163,-0.340823,0.375262,0.114827,20.4392,0.00,0.00,0.00,0.00,0.00,0.00,1.49275,0.114827,0.00,784.7,182.6,0.778189,60,0.00,10.9625,7.37901,0.00,10.8943,0.00,182.6,0.00
8,"Internal",121,319,73598,48,21.7000,13.3000,7,4,9,0,0,41,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,138.344,"Rural",,313.3,786.5,30,293.7,1110.20,0.42741,1.16474,431.031,2.71772,-0.27207,-0.248698,-0.355613,-0.617079,0.102554,12.409,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313.3,76.8,0.465872,20,0.00,10.4302,6.42655,0.00,10.5775,0.00,76.8,0.00
9,"Internal",235,592,73598,48,21.7000,13.3000,44,25,21,0,14,58,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,348.793,"Rural",,1032.90,1527.50,156,941.9,2625.40,0.529247,2.66216,1164.87,19.5225,-0.259238,-0.225135,-0.345851,0.466942,0.116264,27.322,0.00,0.00,0.00,0.00,0.00,0.00,1.62769,0.116264,0.00,1032.90,234.6,1.03757,104,0.00,10.8202,7.30383,0.00,10.801,0.00,234.6,0.00
10,"Internal",128,319,73598,48,21.7000,13.3000,0,13,27,12,0,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,196.979,"Rural",,500.6,832,78,456.4,1366.40,0.514416,2.84064,646.909,0.00,-0.257708,-0.252509,-0.352741,0.309067,0.114099,14.6046,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.114099,0.00,500.6,117.3,0.548302,52,0.00,10.5685,6.60187,0.00,10.6663,0.00,117.3,0.00
11,"Internal",99,257,104082,31,17.0000,39.6000,2,4,34,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,110.121,"Rural",,396.5,643.5,60,346.9,1050.40,0.512361,0.00,348.764,0.664059,-0.282051,-0.251577,-0.356707,0.28719,0.113331,11.2198,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.113331,0.00,396.5,93.3,0.421223,40,0.00,10.5183,6.27696,0.00,10.766,0.00,93.3,0.00
12,"Internal",357,927,100221,43,16.6000,16.4000,14,32,6,11,3,37,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,207.898,"Rural",,967.6,2320.50,99,951.8,3371.30,0.44566,0.00,667.392,2.77148,-0.282051,-0.248623,-0.352469,-0.42282,0.104745,37.3939,0.00,0.00,0.00,0.00,0.00,0.00,0.314234,0.104745,0.00,967.6,234.2,1.40616,66,0.00,10.5495,6.33289,0.00,10.7753,0.00,234.2,0.00
13,"Internal",465,1312,104082,31,17.0000,39.6000,4,18,100,0,0,50,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,311.719,"Rural",,1509.50,3022.50,183,1373.30,4578.80,0.472705,0.00,926.992,0.809812,-0.282051,-0.251373,-0.349016,-0.134929,0.108271,50.3462,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.108271,0.00,1509.50,363.5,1.89015,122,0.00,10.494,6.21183,0.00,10.7417,0.00,363.5,0.00
14,"Internal",1485,2546,104082,31,17.0000,39.6000,6,31,159,109,204,22,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,7,997.392,"Rural",,8248.10,9652.50,763.5,7565.20,17981.20,0.533019,0.00,5129.89,1.71175,-0.282051,-0.250108,-0.293109,0.507089,0.117677,174.751,0.00,0.00,0.00,0.00,0.00,0.00,24.0062,0.823742,0.00,8248.10,1919.00,6.73503,509,0.00,10.7075,7.04215,0.00,10.7525,0.00,1919.00,0.00
15,"Internal",37,84,56905,31,10,62.9000,0,3,4,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,70.832,"Rural",,112.9,240.5,13.5,107.2,361.2,0.467182,0.00,253.819,0.00,-0.282051,-0.252509,-0.35797,-0.193724,0.107358,3.97224,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.9,27.2,0.14913,9,0.00,10.8242,6.92241,0.00,10.8659,0.00,27.2,0.00
16,"Internal",169,394,79000,40,11.0000,39.7000,0,88,3,0,0,35,0,0,0,0,0,25,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,349.094,"Rural",,1411.90,1098.50,946.5,694.2,2739.20,0.655551,3.71475,1695.91,0.00,-0.250218,-0.252509,-0.338788,1.8114,0.135184,22.8461,72.9992,0.00,0.00,0.00,0.00,0.00,0.00,0.270368,0.00,1411.90,132.1,1.23241,91,0.00,10.8683,6.72907,0.00,10.9671,0.00,132.1,0.00
17,"Internal",104,246,79000,40,11.0000,39.7000,1,13,76,4,89,11,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,342.228,"Rural",,2351.90,676,274.5,2111.20,3061.70,0.467731,0.00,1783.28,0.582449,-0.282051,-0.251692,-0.337625,-0.187878,0.107885,11.2201,0.00,0.00,0.00,0.00,0.00,0.00,9.60178,0.21577,0.00,2351.90,519.9,0.490972,183,0.00,10.9739,7.38824,0.00,10.9081,0.00,519.9,0.00
18,"Internal",1271,3227,100714,40,21.7000,26.9000,89,119,180,0,5,27,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,5,858.178,"Rural",,4140.40,8261.50,589.5,3860.30,12711.30,0.483208,1.3001,2754.32,19.2848,-0.27091,-0.225468,-0.324709,-0.0231342,0.110371,140.281,0.00,0.00,0.00,0.00,0.00,0.00,0.551853,0.551853,0.00,4140.40,976,5.27057,393,0.00,11.0849,7.25478,0.00,11.0479,0.00,976,0.00
19,"Internal",410,996,100714,40,21.7000,26.9000,288,67,163,45,367,20,0,0,0,0,0,106,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,11,821.207,"Rural",,9877.70,2665.00,1401.00,8650.90,12716.90,0.481181,0.00,3822.78,86.5747,-0.282051,-0.131116,-0.310496,-0.0447038,0.110253,45.2037,0.441012,0.00,0.00,0.00,0.00,0.00,40.4628,1.21278,0.0302025,9877.70,2136.80,1.99323,930,0.00,11.0579,7.41091,0.00,10.9552,0.00,2136.80,0.00
20,"Internal",144,355,100183,49,22.7000,14.3000,3,21,12,0,2,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,43.4914,"Rural",,450.2,936,57,447.8,1440.80,0.479808,0.40844,147.12,0.30633,-0.278551,-0.252079,-0.359389,-0.0593283,0.109013,15.6979,0.00,0.00,0.00,0.00,0.00,0.00,0.218027,0.00,0.00,450.2,106.6,0.590931,38,0.00,9.87108,5.58582,0.00,10.2402,0.00,106.6,0.00
21,"Internal",500,1272,100183,49,22.7000,14.3000,9,56,40,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,78.8689,"Rural",,1462.00,3250.00,250.5,1357.10,4857.60,0.471655,0.913343,260.98,0.483535,-0.274224,-0.251831,-0.357875,-0.146108,0.108058,54.029,6.6996,0.00,0.00,0.00,0.00,0.00,0.00,0.108058,0.00,1462.00,330.5,2.0628,105,0.00,9.59188,5.33805,0.00,10.0693,0.00,330.5,0.00
22,"Internal",189,443,100183,49,22.7000,14.3000,64,6,15,4,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,55.2251,"Rural",,694.2,1228.50,135,574.8,1938.30,0.505502,0.903872,175.197,5.78478,-0.274305,-0.244397,-0.359016,0.21418,0.112481,21.259,0.00,0.00,0.00,0.00,0.00,0.00,0.112481,0.112481,0.00,694.2,156.4,0.798943,90,0.00,9.23265,4.94953,0.00,9.83392,0.00,156.4,0.00
23,"Internal",62,135,100183,49,22.7000,14.3000,2,3,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,31.1202,"Rural",,160.8,403,15,153.6,571.6,0.430022,0.00,115.76,0.40504,-0.282051,-0.251941,-0.359807,-0.589279,0.102637,6.36351,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.8,39.5,0.238905,10,0.00,9.61614,5.36176,0.00,10.0598,0.00,39.5,0.00
24,"Internal",265,648,100183,49,22.7000,14.3000,50,33,25,4,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,212.741,"Rural",,1363.70,1722.50,204,1245.50,3172.00,0.546802,0.00,748.261,11.7948,-0.282051,-0.23597,-0.351393,0.653801,0.118183,31.3185,0.00,0.00,0.00,0.00,0.00,0.00,2.83639,0.236366,0.00,1363.70,307.2,1.19639,136,0.00,9.69215,5.42851,0.00,10.1381,0.00,307.2,0.00
25,"Internal",89,237,69427,49,20.9000,17.8000,11,66,11,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,82.5531,"Rural",,1076.50,578.5,714,534.1,1826.60,0.661402,0.00,362.32,2.18193,-0.282051,-0.249449,-0.356527,1.87368,0.135014,12.0163,51.3055,0.00,0.00,0.00,0.00,0.00,0.00,0.270029,0.00,1076.50,105.8,0.714478,96,0.00,9.10498,4.77542,0.00,9.75835,0.00,105.8,0.00
26,"Internal",345,780,69427,49,20.9000,17.8000,8,36,39,0,16,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,64.1927,"Rural",,1305.10,2242.50,148.5,1250.20,3641.20,0.501155,0.00,242.271,0.532288,-0.282051,-0.251762,-0.358124,0.167905,0.111797,38.5701,0.00,0.00,0.00,0.00,0.00,0.00,1.78876,0.111797,0.00,1305.10,306.9,1.46103,99,0.00,9.44808,5.23469,0.00,9.97905,0.00,306.9,0.00
27,"Internal",79,188,69427,49,20.9000,17.8000,3,16,9,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,62.3463,"Rural",,257.5,513.5,42,257.1,812.6,0.497899,0.00,210.864,0.77848,-0.282051,-0.251417,-0.358542,0.133249,0.111355,8.79704,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00377705,257.5,59.8,0.330267,28,0.00,8.99551,4.6477,0.00,9.70096,0.00,59.8,0.00
28,"Internal",346,821,69427,49,20.9000,17.8000,9,13,23,6,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,45.6937,"Rural",,904.5,2249.00,78,860.3,3187.30,0.428657,0.00,158.639,0.447949,-0.282051,-0.251881,-0.359236,-0.603804,0.102481,35.4585,0.00,0.00,0.00,0.00,0.00,0.00,0.102481,0.102481,0.00267468,904.5,222.9,1.33196,52,0.00,9.30346,5.03613,0.00,9.90872,0.00,222.9,0.00
29,"Internal",86,205,69427,49,20.9000,17.8000,10,4,8,12,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,34.1284,"Rural",,317.4,559,51,276.8,886.8,0.501916,0.381379,112.736,1.27126,-0.278783,-0.250726,-0.359847,0.176009,0.111911,9.62436,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317.4,74,0.361327,34,0.00,9.34243,5.0786,0.00,9.91628,0.00,74,0.00
30,"Internal",153,402,51616,49,24.7000,18.3000,31,16,67,0,41,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,56.2883,"Rural",,1573.60,994.5,232.5,1382.70,2609.70,0.566121,0.00,212.49,2.52412,-0.282051,-0.248969,-0.35852,0.859451,0.120732,18.472,0.00,0.00,0.00,0.00,0.00,0.00,4.95,0.241463,0.00,1573.60,348.5,0.729444,155,0.00,9.96673,5.62989,0.00,10.4286,0.00,348.5,0.00
31,"Internal",247,594,51616,49,24.7000,18.3000,12,22,0,0,7,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,68.6426,"Rural",,702.2,1605.50,61.5,697.9,2364.90,0.451348,0.00,242.098,1.22846,-0.282051,-0.250786,-0.358126,-0.362275,0.105337,26.0183,0.00,0.00,0.00,0.00,0.00,0.00,0.737361,0.00,0.00,702.2,169.2,0.982161,41,0.00,9.20829,4.98871,0.00,9.83322,0.00,169.2,0.00
32,"Internal",84,199,100221,43,16.6000,16.4000,156,3,59,2,33,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,4,92.4897,"Rural",,1595.30,546,379.5,1223.60,2149.10,0.580106,0.413379,296.131,21.4957,-0.278508,-0.222368,-0.357407,1.00832,0.122826,10.3174,0.00,0.00,0.00,0.00,0.00,0.00,4.05325,0.491303,0.00,1595.30,330,0.416783,253,0.00,11.1756,7.124,0.00,11.2132,0.00,330,0.00
33,"Internal",1694,3549,82833,33,13.9000,42.3000,7,24,70,10,7,36,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,628.304,"Rural",,3890.50,11011.00,177,3775.90,14963.90,0.394731,1.50023,2494.37,1.16685,-0.269195,-0.250872,-0.328167,-0.964942,0.0992046,168.053,0.00,0.00,0.00,0.00,0.00,0.00,0.694432,0.0992046,0.00,3890.50,987.2,6.31424,118,0.00,11.6675,7.70657,0.00,11.5472,0.00,987.2,0.00
34,"Internal",161,445,82833,33,13.9000,42.3000,28,21,9,0,6,41,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,246.387,"Rural",,615.5,1046.50,96,574.1,1716.60,0.513367,0.00,749.303,12.2221,-0.282051,-0.235371,-0.351379,0.2979,0.113592,18.2883,0.00,0.00,0.00,0.00,0.00,0.00,0.68155,0.113592,0.00,615.5,140.4,0.691546,64,0.00,11.5477,7.53276,0.00,11.459,0.00,140.4,0.00
35,"Internal",111,266,82833,33,13.9000,42.3000,0,32,8,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,130.806,"Rural",,351.7,721.5,60,374.9,1156.40,0.50293,0.00,444.034,0.00,-0.282051,-0.252509,-0.35544,0.186802,0.112096,12.4427,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,351.7,81.1,0.467135,40,0.00,11.7984,7.91434,0.00,11.6277,0.00,81.1,0.00
36,"Internal",278,681,82833,33,13.9000,42.3000,5,37,11,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,133.427,"Rural",,721.4,1807.00,81,736.6,2624.60,0.446269,1.02401,447.935,0.85334,-0.273276,-0.251312,-0.355388,-0.416334,0.104891,29.1596,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.104891,0.00,721.4,174.4,1.09474,54,0.00,11.3451,7.26451,0.00,11.3241,0.00,174.4,0.00
37,"Internal",90,208,100221,43,16.6000,16.4000,31,17,13,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,117.213,"Rural",,387.8,585,91.5,340.5,1017.00,0.548929,1.09254,370.371,11.2896,-0.272688,-0.236679,-0.35642,0.676448,0.118516,10.6664,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.118516,0.00,387.8,84.6,0.40045,61,0.00,11.4121,7.29289,0.00,11.3708,0.00,84.6,0.00
38,"Internal",157,374,100221,43,16.6000,16.4000,74,24,32,0,14,35,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,113.358,"Rural",,1072.30,1020.50,255,879.7,2155.20,0.595186,1.05815,380.087,13.0505,-0.272983,-0.23421,-0.356291,1.16883,0.125146,19.648,3.25381,0.00,0.00,0.00,0.00,0.00,1.75205,0.250293,0.00,1072.30,223.3,0.767072,144,0.00,11.2091,7.03766,0.00,11.2403,0.00,223.3,0.00
39,"Internal",123,273,100221,43,16.6000,16.4000,17,17,38,4,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,166.788,"Rural",,1225.40,799.5,166.5,1103.10,2069.10,0.559992,0.00,718.69,5.90486,-0.282051,-0.244229,-0.351786,0.794204,0.120028,14.7635,0.00,0.00,0.00,0.00,0.00,0.00,4.20099,0.240057,0.00,1225.40,272.4,0.584777,111,0.00,11.2415,7.19052,0.00,11.2555,0.00,272.4,0.00
40,"Internal",175,437,82833,33,13.9000,42.3000,13,32,29,0,8,39,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,120.93,"Rural",,779.5,1137.50,123,739.7,2000.20,0.536045,1.84454,409.938,2.66433,-0.266244,-0.248773,-0.355893,0.539299,0.116844,20.4476,0.00,0.00,0.00,0.00,0.00,0.00,0.934749,0.116844,0.00,779.5,177.6,0.774455,82,0.00,11.1951,7.03494,0.00,11.2316,0.00,177.6,0.00
41,"Internal",971,1827,82833,33,13.9000,42.3000,29,84,533,23,63,27,0,0,0,0,0,119,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,12,1444.38,"Suburban",1,6697.60,6311.50,1320.00,5596.00,13227.50,0.583391,0.00,5983.07,13.1173,-0.282051,-0.234116,-0.28176,1.04329,0.125161,121.532,18.5239,0.00,0.00,0.00,0.00,0.00,7.88516,1.50194,0.00,6697.60,1467.50,4.71502,732,0.00,11.319,7.52262,0.00,11.2249,0.00,1467.50,0.00
42,"Internal",57,143,82833,33,13.9000,42.3000,14,6,42,0,5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,1,115.97,"Rural",,497,370.5,100.5,412.1,883.1,0.593267,0.00,382.06,6.0569,-0.282051,-0.244016,-0.356264,1.14841,0.124706,7.10822,0.00,0.00,0.00,0.00,0.00,0.00,0.623528,0.124706,0.00,497,109.4,0.271393,67,0.00,11.0115,6.84295,0.00,11.073,0.00,109.4,0.00
43,"Internal",0,0,82833,33,13.9000,42.3000,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,0.00,"Rural",,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,-0.282051,-0.252509,-0.361346,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.1628,7.05969,0.00,11.1883,0.00,0.00,0.00
44,"Internal",38,85,100221,43,16.6000,16.4000,3,8,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,36.2035,"Rural",,133.2,247,24,130,401,0.511912,0.00,126.39,0.94556,-0.282051,-0.251183,-0.359665,0.282414,0.113201,4.30164,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.2,30.5,0.161496,16,0.00,10.9484,6.68147,0.00,11.0868,0.00,30.5,0.00
45,"Internal",81,196,66667,43,28.0000,25.3000,2,9,7,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,41.4174,"Rural",,319.6,526.5,34.5,308.5,869.5,0.505887,0.00,150.724,0.346692,-0.282051,-0.252022,-0.359341,0.218273,0.1124,9.10442,0.00,0.00,0.00,0.00,0.00,0.00,0.562001,0.00,0.00,319.6,74.9,0.345889,23,0.00,10.46,6.10296,0.00,10.7798,0.00,74.9,0.00
46,"Internal",78,160,66667,43,28.0000,25.3000,304,4,5,0,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,6,238.394,"Rural",,1137.60,507,472.5,675.5,1655.00,0.658051,0.956196,527.501,96.8945,-0.273857,-0.116646,-0.35433,1.83802,0.134705,10.507,0.00,0.00,0.00,0.00,0.00,0.00,0.26941,0.808229,0.00,1137.60,207.2,0.39642,315,0.00,10.5799,6.27274,0.00,10.8546,0.00,207.2,0.00
47,"Internal",1,2,66667,43,28.0000,25.3000,138,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,2,159.76,"Rural",,415.9,6.5,207,208.9,422.4,0.515023,0.00,259.974,84.9346,-0.282051,-0.133416,-0.357888,0.315527,0.113662,0.113662,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.227324,0.00,415.9,69.5,0.00426722,138,0.00,10.8199,6.50894,0.00,11.0091,0.00,69.5,0.00
48,"Internal",73,191,66667,43,28.0000,25.3000,0,11,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0,39.4466,"Rural",,177.3,474.5,18,187.9,680.4,0.436691,0.00,125.772,0.00,-0.282051,-0.252509,-0.359673,-0.518291,0.103467,7.55305,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.3,43.2,0.283564,12,0.00,10.2289,5.78643,0.00,10.6359,0.00,43.2,0.00
