purpose,p_field,a_field,constraint,imp_core,a,b,c
UHC_NCCU_AM,ProdOn_UHC_NCCU_AM,AttrOn_UHC_NCCU_AM,Production,Length (Skim),5,1,0.1
UHC_NCCU_MD,ProdOn_UHC_NCCU_MD,AttrOn_UHC_NCCU_MD,Production,Length (Skim),5,1,0.1
UHC_NCCU_PM,ProdOn_UHC_NCCU_PM,AttrOn_UHC_NCCU_PM,Production,Length (Skim),5,1,0.1
UHC_NCCU_NT,ProdOn_UHC_NCCU_NT,AttrOn_UHC_NCCU_NT,Production,Length (Skim),5,1,0.1
UHO_NCCU_AM,ProdOn_UHO_NCCU_AM,AttrOn_UHO_NCCU_AM,Production,Length (Skim),5,1,0.1
UHO_NCCU_MD,ProdOn_UHO_NCCU_MD,AttrOn_UHO_NCCU_MD,Production,Length (Skim),5,1,0.1
UHO_NCCU_PM,ProdOn_UHO_NCCU_PM,AttrOn_UHO_NCCU_PM,Production,Length (Skim),5,1,0.1
UHO_NCCU_NT,ProdOn_UHO_NCCU_NT,AttrOn_UHO_NCCU_NT,Production,Length (Skim),5,1,0.1
UCO_NCCU_AM,ProdOn_UCO_NCCU_AM,AttrOn_UCO_NCCU_AM,Production,Length (Skim),5,1,0.1
UCO_NCCU_MD,ProdOn_UCO_NCCU_MD,AttrOn_UCO_NCCU_MD,Production,Length (Skim),5,1,0.1
UCO_NCCU_PM,ProdOn_UCO_NCCU_PM,AttrOn_UCO_NCCU_PM,Production,Length (Skim),5,1,0.1
UCO_NCCU_NT,ProdOn_UCO_NCCU_NT,AttrOn_UCO_NCCU_NT,Production,Length (Skim),5,1,0.1
UCC_NCCU_AM,ProdOn_UCC_NCCU_AM,AttrOn_UCC_NCCU_AM,Production,Length (Skim),5,1,0.1
UCC_NCCU_MD,ProdOn_UCC_NCCU_MD,AttrOn_UCC_NCCU_MD,Production,Length (Skim),5,1,0.1
UCC_NCCU_PM,ProdOn_UCC_NCCU_PM,AttrOn_UCC_NCCU_PM,Production,Length (Skim),5,1,0.1
UCC_NCCU_NT,ProdOn_UCC_NCCU_NT,AttrOn_UCC_NCCU_NT,Production,Length (Skim),5,1,0.1
