to_field,from_field,factor
Prod_UC1_UNC_AM,Prod_UC1_UNC,0.288
Prod_UC1_UNC_MD,Prod_UC1_UNC,0.193
Prod_UC1_UNC_PM,Prod_UC1_UNC,0.282
Prod_UC1_UNC_NT,Prod_UC1_UNC,0.237
AttrOn_UHC_UNC_AM,AttrOn_UHC_UNC,0.288
AttrOn_UHC_UNC_MD,AttrOn_UHC_UNC,0.193
AttrOn_UHC_UNC_PM,AttrOn_UHC_UNC,0.282
AttrOn_UHC_UNC_NT,AttrOn_UHC_UNC,0.237
AttrOff_UHC_UNC_AM,AttrOff_UHC_UNC,0.288
AttrOff_UHC_UNC_MD,AttrOff_UHC_UNC,0.193
AttrOff_UHC_UNC_PM,AttrOff_UHC_UNC,0.282
AttrOff_UHC_UNC_NT,AttrOff_UHC_UNC,0.237
AttrOn_UHO_UNC_AM,AttrOn_UHO_UNC,0.288
AttrOn_UHO_UNC_MD,AttrOn_UHO_UNC,0.193
AttrOn_UHO_UNC_PM,AttrOn_UHO_UNC,0.282
AttrOn_UHO_UNC_NT,AttrOn_UHO_UNC,0.237
AttrOff_UHO_UNC_AM,AttrOff_UHO_UNC,0.288
AttrOff_UHO_UNC_MD,AttrOff_UHO_UNC,0.193
AttrOff_UHO_UNC_PM,AttrOff_UHO_UNC,0.282
AttrOff_UHO_UNC_NT,AttrOff_UHO_UNC,0.237
Attr_UCO_UNC_AM,Attr_UCO_UNC,0.288
Attr_UCO_UNC_MD,Attr_UCO_UNC,0.193
Attr_UCO_UNC_PM,Attr_UCO_UNC,0.282
Attr_UCO_UNC_NT,Attr_UCO_UNC,0.237
Attr_UCC_UNC_AM,Attr_UCC_UNC,0.288
Attr_UCC_UNC_MD,Attr_UCC_UNC,0.193
Attr_UCC_UNC_PM,Attr_UCC_UNC,0.282
Attr_UCC_UNC_NT,Attr_UCC_UNC,0.237
Attr_UC1_UNC_AM,Attr_UC1_UNC,0.288
Attr_UC1_UNC_MD,Attr_UC1_UNC,0.193
Attr_UC1_UNC_PM,Attr_UC1_UNC,0.282
Attr_UC1_UNC_NT,Attr_UC1_UNC,0.237
ProdOn_UHC_DUKE_AM,ProdOn_UHC_DUKE,0.288
ProdOn_UHC_DUKE_MD,ProdOn_UHC_DUKE,0.193
ProdOn_UHC_DUKE_PM,ProdOn_UHC_DUKE,0.282
ProdOn_UHC_DUKE_NT,ProdOn_UHC_DUKE,0.237
ProdOff_UHC_DUKE_AM,ProdOff_UHC_DUKE,0.288
ProdOff_UHC_DUKE_MD,ProdOff_UHC_DUKE,0.193
ProdOff_UHC_DUKE_PM,ProdOff_UHC_DUKE,0.282
ProdOff_UHC_DUKE_NT,ProdOff_UHC_DUKE,0.237
ProdOn_UHO_DUKE_AM,ProdOn_UHO_DUKE,0.288
ProdOn_UHO_DUKE_MD,ProdOn_UHO_DUKE,0.193
ProdOn_UHO_DUKE_PM,ProdOn_UHO_DUKE,0.282
ProdOn_UHO_DUKE_NT,ProdOn_UHO_DUKE,0.237
ProdOff_UHO_DUKE_AM,ProdOff_UHO_DUKE,0.288
ProdOff_UHO_DUKE_MD,ProdOff_UHO_DUKE,0.193
ProdOff_UHO_DUKE_PM,ProdOff_UHO_DUKE,0.282
ProdOff_UHO_DUKE_NT,ProdOff_UHO_DUKE,0.237
Prod_UCO_DUKE_AM,Prod_UCO_DUKE,0.288
Prod_UCO_DUKE_MD,Prod_UCO_DUKE,0.193
Prod_UCO_DUKE_PM,Prod_UCO_DUKE,0.282
Prod_UCO_DUKE_NT,Prod_UCO_DUKE,0.237
Prod_UCC_DUKE_AM,Prod_UCC_DUKE,0.288
Prod_UCC_DUKE_MD,Prod_UCC_DUKE,0.193
Prod_UCC_DUKE_PM,Prod_UCC_DUKE,0.282
Prod_UCC_DUKE_NT,Prod_UCC_DUKE,0.237
Prod_UC1_DUKE_AM,Prod_UC1_DUKE,0.288
Prod_UC1_DUKE_MD,Prod_UC1_DUKE,0.193
Prod_UC1_DUKE_PM,Prod_UC1_DUKE,0.282
Prod_UC1_DUKE_NT,Prod_UC1_DUKE,0.237
AttrOn_UHC_DUKE_AM,AttrOn_UHC_DUKE,0.288
AttrOn_UHC_DUKE_MD,AttrOn_UHC_DUKE,0.193
AttrOn_UHC_DUKE_PM,AttrOn_UHC_DUKE,0.282
AttrOn_UHC_DUKE_NT,AttrOn_UHC_DUKE,0.237
AttrOff_UHC_DUKE_AM,AttrOff_UHC_DUKE,0.288
AttrOff_UHC_DUKE_MD,AttrOff_UHC_DUKE,0.193
AttrOff_UHC_DUKE_PM,AttrOff_UHC_DUKE,0.282
AttrOff_UHC_DUKE_NT,AttrOff_UHC_DUKE,0.237
AttrOn_UHO_DUKE_AM,AttrOn_UHO_DUKE,0.288
AttrOn_UHO_DUKE_MD,AttrOn_UHO_DUKE,0.193
AttrOn_UHO_DUKE_PM,AttrOn_UHO_DUKE,0.282
AttrOn_UHO_DUKE_NT,AttrOn_UHO_DUKE,0.237
