sourceTypeID,MOVEStype,hourDayID,hourID,dayID,TOD,avgSpeedBinID,DefaultFraction
11,2,92,9,2,MD,5,0.000836925
11,2,92,9,2,MD,6,0.000987493
11,2,92,9,2,MD,7,0.00143566
11,2,92,9,2,MD,8,0.00224912
11,2,92,9,2,MD,9,0.00336608
11,2,92,9,2,MD,10,0.00566805
11,2,92,9,2,MD,11,0.0114476
11,2,92,9,2,MD,12,0.0301736
11,2,92,9,2,MD,13,0.0785736
11,2,92,9,2,MD,14,0.171891
11,2,92,9,2,MD,15,0.291169
11,2,92,9,2,MD,16,0.396349
11,2,102,10,2,MD,1,0.0019101
11,2,102,10,2,MD,2,0.00308108
11,2,102,10,2,MD,3,0.00171833
11,2,102,10,2,MD,4,0.00122342
11,2,102,10,2,MD,5,0.0010847
11,2,102,10,2,MD,6,0.0012
11,2,102,10,2,MD,7,0.00164231
11,2,102,10,2,MD,8,0.0024622
11,2,102,10,2,MD,9,0.00363001
11,2,102,10,2,MD,10,0.0060655
11,2,102,10,2,MD,11,0.0121037
11,2,102,10,2,MD,12,0.0315619
11,2,102,10,2,MD,13,0.0801435
11,2,102,10,2,MD,14,0.171959
11,2,102,10,2,MD,15,0.288882
11,2,102,10,2,MD,16,0.391333
11,2,112,11,2,MD,1,0.00255507
11,2,112,11,2,MD,2,0.00438406
11,2,112,11,2,MD,3,0.00261571
11,2,112,11,2,MD,4,0.00181333
11,2,112,11,2,MD,5,0.0016385
11,2,112,11,2,MD,6,0.00170804
11,2,112,11,2,MD,7,0.00211696
11,2,112,11,2,MD,8,0.00292365
11,2,112,11,2,MD,9,0.00414376
11,2,112,11,2,MD,10,0.00658487
11,2,112,11,2,MD,11,0.0128375
11,2,112,11,2,MD,12,0.0329023
11,2,112,11,2,MD,13,0.0816361
11,2,112,11,2,MD,14,0.171707
11,2,112,11,2,MD,15,0.284187
11,2,112,11,2,MD,16,0.386247
11,2,122,12,2,MD,1,0.00318521
11,2,122,12,2,MD,2,0.00597796
11,2,122,12,2,MD,3,0.00387582
11,2,122,12,2,MD,4,0.00279542
11,2,122,12,2,MD,5,0.00243844
11,2,122,12,2,MD,6,0.00238941
11,2,122,12,2,MD,7,0.00269708
11,2,122,12,2,MD,8,0.00345905
11,2,122,12,2,MD,9,0.00464089
11,2,122,12,2,MD,10,0.0070669
11,2,122,12,2,MD,11,0.0133557
11,2,122,12,2,MD,12,0.0334469
11,2,122,12,2,MD,13,0.0817117
11,2,122,12,2,MD,14,0.168969
11,2,122,12,2,MD,15,0.277107
11,2,122,12,2,MD,16,0.386883
11,2,132,13,2,MD,1,0.00358233
11,2,132,13,2,MD,2,0.00697394
11,2,132,13,2,MD,3,0.00472412
11,2,132,13,2,MD,4,0.00346823
11,2,132,13,2,MD,5,0.00298434
11,2,132,13,2,MD,6,0.00289331
11,2,132,13,2,MD,7,0.0031852
11,2,132,13,2,MD,8,0.00394662
11,2,132,13,2,MD,9,0.00512736
11,2,132,13,2,MD,10,0.00757705
11,2,132,13,2,MD,11,0.0139802
11,2,132,13,2,MD,12,0.0339993
11,2,132,13,2,MD,13,0.081763
11,2,132,13,2,MD,14,0.166954
11,2,132,13,2,MD,15,0.270955
11,2,132,13,2,MD,16,0.387885
11,2,142,14,2,MD,1,0.00371362
11,2,142,14,2,MD,2,0.00727147
11,2,142,14,2,MD,3,0.00496149
11,2,142,14,2,MD,4,0.00368026
11,2,142,14,2,MD,5,0.00320412
11,2,142,14,2,MD,6,0.00309261
11,2,142,14,2,MD,7,0.00336444
11,2,142,14,2,MD,8,0.00409347
11,2,142,14,2,MD,9,0.00528343
11,2,142,14,2,MD,10,0.0076832
11,2,142,14,2,MD,11,0.0140857
11,2,142,14,2,MD,12,0.033857
11,2,142,14,2,MD,13,0.0812683
11,2,142,14,2,MD,14,0.166185
11,2,142,14,2,MD,15,0.268955
11,2,142,14,2,MD,16,0.3893
11,2,152,15,2,MD,1,0.00362421
11,2,152,15,2,MD,2,0.00737804
11,2,152,15,2,MD,3,0.00503127
11,2,152,15,2,MD,4,0.00376914
11,2,152,15,2,MD,5,0.00333817
11,2,152,15,2,MD,6,0.00322164
11,2,152,15,2,MD,7,0.00346433
11,2,152,15,2,MD,8,0.00418087
