id,name,total,poverty,non_poverty
1500000US370630004013,"Block Group 3, Census Tract 4.01, Durham County, North Carolina",379,16,363
1500000US370630007001,"Block Group 1, Census Tract 7, Durham County, North Carolina",741,177,564
1500000US370630017091,"Block Group 1, Census Tract 17.09, Durham County, North Carolina",325,108,217
1500000US370630017093,"Block Group 3, Census Tract 17.09, Durham County, North Carolina",2069,597,1472
1500000US370630020081,"Block Group 1, Census Tract 20.08, Durham County, North Carolina",362,0,362
1500000US370630020082,"Block Group 2, Census Tract 20.08, Durham County, North Carolina",879,0,879
1500000US370630020132,"Block Group 2, Census Tract 20.13, Durham County, North Carolina",476,59,417
1500000US370630003011,"Block Group 1, Census Tract 3.01, Durham County, North Carolina",548,127,421
1500000US370630003012,"Block Group 2, Census Tract 3.01, Durham County, North Carolina",263,65,198
1500000US370630003021,"Block Group 1, Census Tract 3.02, Durham County, North Carolina",412,10,402
1500000US370630003023,"Block Group 3, Census Tract 3.02, Durham County, North Carolina",663,188,475
1500000US370630015011,"Block Group 1, Census Tract 15.01, Durham County, North Carolina",34,29,5
1500000US370630020172,"Block Group 2, Census Tract 20.17, Durham County, North Carolina",683,40,643
1500000US370630020171,"Block Group 1, Census Tract 20.17, Durham County, North Carolina",873,11,862
1500000US370630021003,"Block Group 3, Census Tract 21, Durham County, North Carolina",752,111,641
1500000US370630021001,"Block Group 1, Census Tract 21, Durham County, North Carolina",971,44,927
1500000US370630021002,"Block Group 2, Census Tract 21, Durham County, North Carolina",870,81,789
1500000US370630020201,"Block Group 1, Census Tract 20.20, Durham County, North Carolina",752,8,744
1500000US370630020202,"Block Group 2, Census Tract 20.20, Durham County, North Carolina",1855,0,1855
1500000US370630020212,"Block Group 2, Census Tract 20.21, Durham County, North Carolina",481,142,339
1500000US370630020221,"Block Group 1, Census Tract 20.22, Durham County, North Carolina",1219,103,1116
1500000US370630020231,"Block Group 1, Census Tract 20.23, Durham County, North Carolina",674,7,667
1500000US370630020232,"Block Group 2, Census Tract 20.23, Durham County, North Carolina",684,7,677
1500000US370630020242,"Block Group 2, Census Tract 20.24, Durham County, North Carolina",616,16,600
1500000US370630020243,"Block Group 3, Census Tract 20.24, Durham County, North Carolina",682,114,568
1500000US370630020271,"Block Group 1, Census Tract 20.27, Durham County, North Carolina",664,84,580
1500000US370630020251,"Block Group 1, Census Tract 20.25, Durham County, North Carolina",926,33,893
1500000US370630020253,"Block Group 3, Census Tract 20.25, Durham County, North Carolina",605,56,549
1500000US370630020261,"Block Group 1, Census Tract 20.26, Durham County, North Carolina",1310,192,1118
1500000US370630020272,"Block Group 2, Census Tract 20.27, Durham County, North Carolina",2734,428,2306
1500000US370630020281,"Block Group 1, Census Tract 20.28, Durham County, North Carolina",1119,12,1107
1500000US370630020282,"Block Group 2, Census Tract 20.28, Durham County, North Carolina",1059,137,922
1500000US370630022001,"Block Group 1, Census Tract 22, Durham County, North Carolina",1015,195,820
1500000US370630023001,"Block Group 1, Census Tract 23, Durham County, North Carolina",238,92,146
1500000US370639801001,"Block Group 1, Census Tract 9801, Durham County, North Carolina",0,0,0
1500000US370630018072,"Block Group 2, Census Tract 18.07, Durham County, North Carolina",1332,59,1273
1500000US370630018073,"Block Group 3, Census Tract 18.07, Durham County, North Carolina",983,75,908
1500000US370630018082,"Block Group 2, Census Tract 18.08, Durham County, North Carolina",2741,77,2664
1500000US370630018091,"Block Group 1, Census Tract 18.09, Durham County, North Carolina",1764,152,1612
1500000US370630018092,"Block Group 2, Census Tract 18.09, Durham County, North Carolina",927,85,842
1500000US370630020162,"Block Group 2, Census Tract 20.16, Durham County, North Carolina",1226,310,916
1500000US370630020173,"Block Group 3, Census Tract 20.17, Durham County, North Carolina",1947,246,1701
1500000US370630020191,"Block Group 1, Census Tract 20.19, Durham County, North Carolina",669,37,632
1500000US370630020192,"Block Group 2, Census Tract 20.19, Durham County, North Carolina",949,123,826
1500000US370630013041,"Block Group 1, Census Tract 13.04, Durham County, North Carolina",1171,356,815
1500000US370630017101,"Block Group 1, Census Tract 17.10, Durham County, North Carolina",1216,164,1052
1500000US370630017102,"Block Group 2, Census Tract 17.10, Durham County, North Carolina",572,62,510
1500000US370630017113,"Block Group 3, Census Tract 17.11, Durham County, North Carolina",813,123,690
1500000US370630017111,"Block Group 1, Census Tract 17.11, Durham County, North Carolina",545,57,488
1500000US370630017112,"Block Group 2, Census Tract 17.11, Durham County, North Carolina",847,150,697
1500000US370630018014,"Block Group 4, Census Tract 18.01, Durham County, North Carolina",535,193,342
1500000US370630018013,"Block Group 3, Census Tract 18.01, Durham County, North Carolina",989,205,784
1500000US370630015023,"Block Group 3, Census Tract 15.02, Durham County, North Carolina",1028,353,675
1500000US370630001022,"Block Group 2, Census Tract 1.02, Durham County, North Carolina",717,105,612
1500000US370630006003,"Block Group 3, Census Tract 6, Durham County, North Carolina",245,0,245
1500000US370630015024,"Block Group 4, Census Tract 15.02, Durham County, North Carolina",212,109,103
1500000US370630017074,"Block Group 4, Census Tract 17.07, Durham County, North Carolina",928,48,880
1500000US370630017075,"Block Group 5, Census Tract 17.07, Durham County, North Carolina",854,85,769
1500000US370630018061,"Block Group 1, Census Tract 18.06, Durham County, North Carolina",739,176,563
1500000US370630018062,"Block Group 2, Census Tract 18.06, Durham County, North Carolina",1699,106,1593
1500000US370630020181,"Block Group 1, Census Tract 20.18, Durham County, North Carolina",1466,105,1361
1500000US370630016011,"Block Group 1, Census Tract 16.01, Durham County, North Carolina",451,0,451
1500000US370630009002,"Block Group 2, Census Tract 9, Durham County, North Carolina",261,86,175
1500000US370630020073,"Block Group 3, Census Tract 20.07, Durham County, North Carolina",287,0,287
1500000US370630018012,"Block Group 2, Census Tract 18.01, Durham County, North Carolina",356,43,313
1500000US370630019001,"Block Group 1, Census Tract 19, Durham County, North Carolina",798,42,756
1500000US370630001012,"Block Group 2, Census Tract 1.01, Durham County, North Carolina",666,168,498
1500000US370630018023,"Block Group 3, Census Tract 18.02, Durham County, North Carolina",666,117,549
1500000US370630020151,"Block Group 1, Census Tract 20.15, Durham County, North Carolina",1160,254,906
1500000US370630011001,"Block Group 1, Census Tract 11, Durham County, North Carolina",770,252,518
1500000US370630015022,"Block Group 2, Census Tract 15.02, Durham County, North Carolina",530,219,311
1500000US370630020091,"Block Group 1, Census Tract 20.09, Durham County, North Carolina",645,112,533
1500000US370630017072,"Block Group 2, Census Tract 17.07, Durham County, North Carolina",685,14,671
1500000US370630010012,"Block Group 2, Census Tract 10.01, Durham County, North Carolina",602,269,333
1500000US370630013032,"Block Group 2, Census Tract 13.03, Durham County, North Carolina",289,52,237
1500000US370630016031,"Block Group 1, Census Tract 16.03, Durham County, North Carolina",280,64,216
1500000US370630007002,"Block Group 2, Census Tract 7, Durham County, North Carolina",572,37,535
1500000US370630016034,"Block Group 4, Census Tract 16.03, Durham County, North Carolina",701,0,701
1500000US370630017053,"Block Group 3, Census Tract 17.05, Durham County, North Carolina",702,90,612
1500000US370630004012,"Block Group 2, Census Tract 4.01, Durham County, North Carolina",456,15,441
1500000US370630017092,"Block Group 2, Census Tract 17.09, Durham County, North Carolina",385,95,290
1500000US370630020133,"Block Group 3, Census Tract 20.13, Durham County, North Carolina",876,56,820
1500000US370630020131,"Block Group 1, Census Tract 20.13, Durham County, North Carolina",592,26,566
1500000US370630003013,"Block Group 3, Census Tract 3.01, Durham County, North Carolina",354,32,322
1500000US370630003022,"Block Group 2, Census Tract 3.02, Durham County, North Carolina",468,21,447
1500000US370630020211,"Block Group 1, Census Tract 20.21, Durham County, North Carolina",1484,183,1301
1500000US370630020222,"Block Group 2, Census Tract 20.22, Durham County, North Carolina",1180,114,1066
1500000US370630020241,"Block Group 1, Census Tract 20.24, Durham County, North Carolina",1732,92,1640
1500000US370630020252,"Block Group 2, Census Tract 20.25, Durham County, North Carolina",1146,84,1062
1500000US370630023002,"Block Group 2, Census Tract 23, Durham County, North Carolina",147,35,112
1500000US370630020262,"Block Group 2, Census Tract 20.26, Durham County, North Carolina",1569,275,1294
1500000US370630020273,"Block Group 3, Census Tract 20.27, Durham County, North Carolina",1069,230,839
1500000US370630020283,"Block Group 3, Census Tract 20.28, Durham County, North Carolina",2447,37,2410
1500000US370630018081,"Block Group 1, Census Tract 18.08, Durham County, North Carolina",893,0,893
1500000US370630020153,"Block Group 3, Census Tract 20.15, Durham County, North Carolina",391,38,353
1500000US370630020183,"Block Group 3, Census Tract 20.18, Durham County, North Carolina",1235,16,1219
1500000US370630020193,"Block Group 3, Census Tract 20.19, Durham County, North Carolina",874,40,834
1500000US370630017062,"Block Group 2, Census Tract 17.06, Durham County, North Carolina",1032,85,947
1500000US370630018024,"Block Group 4, Census Tract 18.02, Durham County, North Carolina",398,26,372
1500000US370630018071,"Block Group 1, Census Tract 18.07, Durham County, North Carolina",1125,180,945
1500000US370630007003,"Block Group 3, Census Tract 7, Durham County, North Carolina",555,27,528
